po_no,vendor_code,plant_code,po_date,material,qty,rate,amount
PO-2024-00740,VEND-0020,PLNT-07,2024-12-23,Corrugated Box,1333,98.27,130993.91
PO-2024-00741,VEND-0043,PLNT-11,2025-05-14,Corrugated Box,3101,147.3,456777.3
PO-2024-00742,VEND-0119,PLNT-10,2024-11-03,Security Services,4074,455.1,1854077.4
PO-2024-00743,VEND-0003,PLNT-06,2025-04-03,Shrink Sleeve,581,611.65,355368.65
PO-2024-00744,VEND-0118,PLNT-02,2025-01-25,Warehousing,2743,297.31,815521.33
PO-2024-00744,VEND-0118,PLNT-02,2025-01-25,Primary Freight,1953,647.53,1264626.09
PO-2024-00744,VEND-0118,PLNT-02,2025-01-25,Primary Freight,3707,855.92,3172895.44
PO-2024-00745,VEND-0076,PLNT-14,2024-06-08,Warehousing,3087,388.64,1199731.68
PO-2024-00745,VEND-0076,PLNT-14,2024-06-08,Secondary Freight,3077,529.47,1629179.19
PO-2024-00745,VEND-0076,PLNT-14,2024-06-08,Warehousing,3966,16.42,65121.72
PO-2024-00745,VEND-0076,PLNT-14,2024-06-08,Secondary Freight,4568,573.17,2618240.56
PO-2024-00746,VEND-0022,PLNT-08,2024-08-11,Permitted Colour,2401,482.24,1157858.24
PO-2024-00746,VEND-0022,PLNT-08,2024-08-11,Cardamom Oil,2084,808.38,1684663.92
PO-2024-00746,VEND-0022,PLNT-08,2024-08-11,Permitted Colour,383,820.09,314094.47
PO-2024-00747,VEND-0102,PLNT-01,2024-10-27,Shrink Sleeve,3009,390.8,1175917.2
PO-2024-00747,VEND-0102,PLNT-01,2024-10-27,Mono Carton,1505,50.04,75310.2
PO-2024-00748,VEND-0111,PLNT-02,2025-02-27,Warehousing,2216,210.34,466113.44
PO-2024-00748,VEND-0111,PLNT-02,2025-02-27,Cold-Chain Haulage,3154,400.88,1264375.52
PO-2024-00748,VEND-0111,PLNT-02,2025-02-27,Cold-Chain Haulage,465,548.19,254908.35
PO-2024-00749,VEND-0016,PLNT-07,2024-08-27,Housekeeping,3226,556.19,1794268.94
PO-2024-00749,VEND-0016,PLNT-07,2024-08-27,Security Services,4636,550.06,2550078.16
PO-2024-00749,VEND-0016,PLNT-07,2024-08-27,Consulting,101,663.49,67012.49
PO-2024-00750,VEND-0061,PLNT-07,2024-02-01,Mint Flavour,2135,168.36,359448.6
PO-2024-00751,VEND-0028,PLNT-10,2024-02-08,Mint Flavour,3360,242.21,813825.6
PO-2024-00751,VEND-0028,PLNT-10,2024-02-08,Citric Acid,584,50.91,29731.44
PO-2024-00752,VEND-0015,PLNT-01,2024-03-31,Cocoa Mass,3170,343.0,1087310.0
PO-2024-00752,VEND-0015,PLNT-01,2024-03-31,Permitted Colour,3930,563.46,2214397.8
PO-2024-00752,VEND-0015,PLNT-01,2024-03-31,Cardamom Oil,4116,525.72,2163863.52
PO-2024-00752,VEND-0015,PLNT-01,2024-03-31,Cardamom Oil,1176,80.49,94656.24
PO-2024-00753,VEND-0109,PLNT-07,2024-04-08,Menthol Crystals,2252,534.97,1204752.44
PO-2024-00754,VEND-0108,PLNT-12,2024-06-04,Cardamom Oil,4563,721.12,3290470.56
PO-2024-00754,VEND-0108,PLNT-12,2024-06-04,Cocoa Mass,836,674.08,563530.88
PO-2024-00754,VEND-0108,PLNT-12,2024-06-04,Permitted Colour,709,381.33,270362.97
PO-2024-00755,VEND-0027,PLNT-05,2024-10-12,Secondary Freight,1089,628.87,684839.43
PO-2024-00756,VEND-0080,PLNT-10,2025-04-26,IT AMC,4169,556.75,2321090.75
PO-2024-00756,VEND-0080,PLNT-10,2025-04-26,Security Services,2933,330.62,969708.46
PO-2024-00756,VEND-0080,PLNT-10,2025-04-26,AMC-Machinery,4350,497.83,2165560.5
PO-2024-00757,VEND-0102,PLNT-09,2025-05-03,Wrapper Film,2911,680.95,1982245.45
PO-2024-00757,VEND-0102,PLNT-09,2025-05-03,Corrugated Box,1954,781.88,1527793.52
PO-2024-00757,VEND-0102,PLNT-09,2025-05-03,Mono Carton,1881,340.73,640913.13
PO-2024-00757,VEND-0102,PLNT-09,2025-05-03,Mono Carton,4323,528.97,2286737.31
PO-2024-00758,VEND-0109,PLNT-11,2025-03-25,Refined Sugar,3229,694.24,2241700.96
PO-2024-00759,VEND-0057,PLNT-04,2024-10-21,Glucose Syrup,2695,771.2,2078384.0
PO-2024-00760,VEND-0108,PLNT-12,2024-06-06,Permitted Colour,4508,769.85,3470483.8
PO-2024-00760,VEND-0108,PLNT-12,2024-06-06,Cardamom Oil,2977,742.72,2211077.44
PO-2024-00760,VEND-0108,PLNT-12,2024-06-06,Permitted Colour,315,94.71,29833.65
PO-2024-00761,VEND-0104,PLNT-15,2025-02-13,Milk Solids,2102,814.25,1711553.5
PO-2024-00762,VEND-0038,PLNT-08,2024-02-01,Mono Carton,3872,499.04,1932282.88
PO-2024-00762,VEND-0038,PLNT-08,2024-02-01,Wrapper Film,1635,619.95,1013618.25
PO-2024-00762,VEND-0038,PLNT-08,2024-02-01,Shrink Sleeve,4915,100.9,495923.5
PO-2024-00763,VEND-0038,PLNT-11,2025-03-22,PET Bottle 500ml,536,97.49,52254.64
PO-2024-00764,VEND-0107,PLNT-15,2024-02-04,Wrapper Film,4449,722.0,3212178.0
PO-2024-00764,VEND-0107,PLNT-15,2024-02-04,Corrugated Box,3884,588.26,2284801.84
PO-2024-00764,VEND-0107,PLNT-15,2024-02-04,Wrapper Film,4413,295.7,1304924.1
PO-2024-00765,VEND-0031,PLNT-05,2024-06-10,Permitted Colour,4437,615.29,2730041.73
PO-2024-00765,VEND-0031,PLNT-05,2024-06-10,Citric Acid,3843,147.06,565151.58
PO-2024-00765,VEND-0031,PLNT-05,2024-06-10,Mint Flavour,4483,857.45,3843948.35
PO-2024-00766,VEND-0043,PLNT-12,2024-12-26,Corrugated Box,1934,649.86,1256829.24
PO-2024-00767,VEND-0067,PLNT-11,2025-03-01,AMC-Machinery,3416,68.33,233415.28
PO-2024-00767,VEND-0067,PLNT-11,2025-03-01,Security Services,64,858.95,54972.8
PO-2024-00768,VEND-0006,PLNT-09,2024-01-27,Menthol Crystals,3801,685.63,2606079.63
PO-2024-00769,VEND-0043,PLNT-13,2024-04-15,PET Bottle 500ml,1163,447.94,520954.22
PO-2024-00769,VEND-0043,PLNT-13,2024-04-15,PET Bottle 500ml,757,221.8,167902.6
PO-2024-00769,VEND-0043,PLNT-13,2024-04-15,Wrapper Film,137,79.38,10875.06
PO-2024-00770,VEND-0071,PLNT-08,2024-07-04,Secondary Freight,4118,376.66,1551085.88
PO-2024-00770,VEND-0071,PLNT-08,2024-07-04,Primary Freight,2376,327.7,778615.2
PO-2024-00770,VEND-0071,PLNT-08,2024-07-04,Cold-Chain Haulage,4190,321.59,1347462.1
PO-2024-00770,VEND-0071,PLNT-08,2024-07-04,Primary Freight,3100,673.68,2088408.0
PO-2024-00771,VEND-0107,PLNT-11,2025-04-17,Shrink Sleeve,2658,207.31,551029.98
PO-2024-00771,VEND-0107,PLNT-11,2025-04-17,Corrugated Box,1855,639.38,1186049.9
PO-2024-00771,VEND-0107,PLNT-11,2025-04-17,PET Bottle 500ml,235,497.69,116957.15
PO-2024-00771,VEND-0107,PLNT-11,2025-04-17,Mono Carton,1845,86.16,158965.2
PO-2024-00772,VEND-0084,PLNT-05,2025-04-10,Mono Carton,695,225.26,156555.7
PO-2024-00772,VEND-0084,PLNT-05,2025-04-10,Wrapper Film,4336,665.91,2887385.76
PO-2024-00773,VEND-0087,PLNT-06,2025-03-15,Citric Acid,2341,739.43,1731005.63
PO-2024-00773,VEND-0087,PLNT-06,2025-03-15,Citric Acid,625,126.15,78843.75
PO-2024-00773,VEND-0087,PLNT-06,2025-03-15,Cocoa Mass,3468,109.85,380959.8
PO-2024-00773,VEND-0087,PLNT-06,2025-03-15,Cardamom Oil,4493,565.91,2542633.63
PO-2024-00774,VEND-0067,PLNT-06,2024-11-23,Consulting,2876,377.23,1084913.48
PO-2024-00774,VEND-0067,PLNT-06,2024-11-23,Consulting,2010,547.88,1101238.8
PO-2024-00774,VEND-0067,PLNT-06,2024-11-23,Security Services,3440,511.4,1759216.0
PO-2024-00775,VEND-0046,PLNT-07,2024-07-02,Secondary Freight,3872,63.8,247033.6
PO-2024-00775,VEND-0046,PLNT-07,2024-07-02,Warehousing,4160,681.42,2834707.2
PO-2024-00775,VEND-0046,PLNT-07,2024-07-02,Cold-Chain Haulage,4087,74.63,305012.81
PO-2024-00776,VEND-0023,PLNT-03,2024-10-01,Mono Carton,3039,275.82,838216.98
PO-2024-00776,VEND-0023,PLNT-03,2024-10-01,Wrapper Film,3979,188.1,748449.9
PO-2024-00776,VEND-0023,PLNT-03,2024-10-01,Wrapper Film,1704,373.77,636904.08
PO-2024-00777,VEND-0045,PLNT-09,2024-06-12,Refined Sugar,618,334.67,206826.06
PO-2024-00777,VEND-0045,PLNT-09,2024-06-12,Edible Starch,911,149.31,136021.41
PO-2024-00777,VEND-0045,PLNT-09,2024-06-12,Milk Solids,2394,229.37,549111.78
PO-2024-00778,VEND-0007,PLNT-02,2024-10-06,Housekeeping,4424,304.92,1348966.08
PO-2024-00778,VEND-0007,PLNT-02,2024-10-06,AMC-Machinery,1526,590.8,901560.8
PO-2024-00778,VEND-0007,PLNT-02,2024-10-06,Consulting,3127,93.98,293875.46
PO-2024-00779,VEND-0014,PLNT-12,2025-04-23,Permitted Colour,423,344.28,145630.44
PO-2024-00779,VEND-0014,PLNT-12,2025-04-23,Cardamom Oil,1032,304.88,314636.16
PO-2024-00780,VEND-0080,PLNT-15,2024-11-02,Consulting,4451,847.68,3773023.68
PO-2024-00781,VEND-0045,PLNT-07,2024-02-24,Milk Solids,4974,778.33,3871413.42
PO-2024-00781,VEND-0045,PLNT-07,2024-02-24,Menthol Crystals,545,232.13,126510.85
PO-2024-00781,VEND-0045,PLNT-07,2024-02-24,Glucose Syrup,167,46.66,7792.22
PO-2024-00782,VEND-0101,PLNT-04,2024-11-09,Refined Sugar,2794,233.19,651532.86
PO-2024-00782,VEND-0101,PLNT-04,2024-11-09,Menthol Crystals,2377,35.35,84026.95
PO-2024-00783,VEND-0061,PLNT-15,2025-01-31,Cocoa Mass,1693,745.03,1261335.79
PO-2024-00783,VEND-0061,PLNT-15,2025-01-31,Cardamom Oil,2370,122.44,290182.8
PO-2024-00783,VEND-0061,PLNT-15,2025-01-31,Mint Flavour,3591,182.07,653813.37
PO-2024-00784,VEND-0111,PLNT-13,2024-06-05,Cold-Chain Haulage,817,155.73,127231.41
PO-2024-00784,VEND-0111,PLNT-13,2024-06-05,Warehousing,600,549.79,329874.0
PO-2024-00785,VEND-0118,PLNT-12,2024-01-12,Cold-Chain Haulage,1063,207.36,220423.68
PO-2024-00785,VEND-0118,PLNT-12,2024-01-12,Secondary Freight,1592,708.4,1127772.8
PO-2024-00786,VEND-0058,PLNT-06,2024-09-22,Housekeeping,1339,148.98,199484.22
PO-2024-00786,VEND-0058,PLNT-06,2024-09-22,Security Services,3721,83.69,311410.49
PO-2024-00787,VEND-0095,PLNT-03,2025-04-03,Refined Sugar,2701,32.57,87971.57
PO-2024-00787,VEND-0095,PLNT-03,2025-04-03,Refined Sugar,4244,701.22,2975977.68
PO-2024-00787,VEND-0095,PLNT-03,2025-04-03,Refined Sugar,1525,757.97,1155904.25
PO-2024-00788,VEND-0023,PLNT-12,2025-06-02,Shrink Sleeve,2723,131.43,357883.89
PO-2024-00788,VEND-0023,PLNT-12,2025-06-02,Shrink Sleeve,185,719.66,133137.1
PO-2024-00788,VEND-0023,PLNT-12,2025-06-02,Wrapper Film,4130,794.2,3280046.0
PO-2024-00788,VEND-0023,PLNT-12,2025-06-02,Shrink Sleeve,2351,574.8,1351354.8
PO-2024-00789,VEND-0015,PLNT-10,2024-06-06,Citric Acid,4807,101.48,487814.36
PO-2024-00789,VEND-0015,PLNT-10,2024-06-06,Cocoa Mass,2788,251.13,700150.44
PO-2024-00789,VEND-0015,PLNT-10,2024-06-06,Permitted Colour,2668,243.61,649951.48
PO-2024-00790,VEND-0105,PLNT-04,2025-03-06,Housekeeping,4350,269.27,1171324.5
PO-2024-00790,VEND-0105,PLNT-04,2025-03-06,IT AMC,2688,16.33,43895.04
PO-2024-00790,VEND-0105,PLNT-04,2025-03-06,Consulting,2355,674.2,1587741.0
PO-2024-00790,VEND-0105,PLNT-04,2025-03-06,AMC-Machinery,4118,508.85,2095444.3
PO-2024-00791,VEND-0024,PLNT-07,2024-09-27,Warehousing,3236,48.98,158499.28
PO-2024-00791,VEND-0024,PLNT-07,2024-09-27,Primary Freight,4393,893.27,3924135.11
PO-2024-00791,VEND-0024,PLNT-07,2024-09-27,Primary Freight,3220,284.01,914512.2
PO-2024-00791,VEND-0024,PLNT-07,2024-09-27,Cold-Chain Haulage,1276,230.41,294003.16
PO-2024-00792,VEND-0084,PLNT-03,2024-10-25,Mono Carton,1999,592.8,1185007.2
PO-2024-00792,VEND-0084,PLNT-03,2024-10-25,Mono Carton,4828,625.93,3021990.04
PO-2024-00792,VEND-0084,PLNT-03,2024-10-25,PET Bottle 500ml,4188,538.14,2253730.32
PO-2024-00793,VEND-0026,PLNT-11,2025-04-26,Cocoa Mass,881,603.35,531551.35
PO-2024-00793,VEND-0026,PLNT-11,2025-04-26,Cardamom Oil,332,336.59,111747.88
PO-2024-00794,VEND-0048,PLNT-07,2024-07-06,Cardamom Oil,2316,48.66,112696.56
PO-2024-00794,VEND-0048,PLNT-07,2024-07-06,Mint Flavour,2662,579.83,1543507.46
PO-2024-00794,VEND-0048,PLNT-07,2024-07-06,Permitted Colour,2179,495.08,1078779.32
PO-2024-00795,VEND-0042,PLNT-07,2024-12-26,Refined Sugar,121,146.79,17761.59
PO-2024-00795,VEND-0042,PLNT-07,2024-12-26,Milk Solids,4918,284.88,1401039.84
PO-2024-00795,VEND-0042,PLNT-07,2024-12-26,Menthol Crystals,2512,627.39,1576003.68
PO-2024-00795,VEND-0042,PLNT-07,2024-12-26,Edible Starch,1157,697.33,806810.81
PO-2024-00796,VEND-0005,PLNT-01,2024-07-07,Secondary Freight,1521,49.75,75669.75
PO-2024-00796,VEND-0005,PLNT-01,2024-07-07,Primary Freight,1958,485.62,950843.96
PO-2024-00796,VEND-0005,PLNT-01,2024-07-07,Primary Freight,2404,872.34,2097105.36
PO-2024-00796,VEND-0005,PLNT-01,2024-07-07,Cold-Chain Haulage,4977,205.15,1021031.55
PO-2024-00797,VEND-0105,PLNT-11,2024-07-05,AMC-Machinery,3346,454.77,1521660.42
PO-2024-00798,VEND-0049,PLNT-01,2025-03-22,Cold-Chain Haulage,3352,334.64,1121713.28
PO-2024-00798,VEND-0049,PLNT-01,2025-03-22,Cold-Chain Haulage,2874,345.19,992076.06
PO-2024-00798,VEND-0049,PLNT-01,2025-03-22,Cold-Chain Haulage,261,855.43,223267.23
PO-2024-00799,VEND-0053,PLNT-03,2024-02-28,PET Bottle 500ml,4818,817.89,3940594.02
PO-2024-00799,VEND-0053,PLNT-03,2024-02-28,PET Bottle 500ml,4894,343.64,1681774.16
PO-2024-00799,VEND-0053,PLNT-03,2024-02-28,Shrink Sleeve,2881,525.96,1515290.76
PO-2024-00800,VEND-0111,PLNT-15,2025-04-10,Warehousing,2304,114.02,262702.08
PO-2024-00800,VEND-0111,PLNT-15,2025-04-10,Secondary Freight,2996,147.53,441999.88
PO-2024-00800,VEND-0111,PLNT-15,2025-04-10,Primary Freight,2867,62.37,178814.79
PO-2024-00801,VEND-0026,PLNT-09,2024-12-19,Mint Flavour,3925,772.66,3032690.5
PO-2024-00801,VEND-0026,PLNT-09,2024-12-19,Citric Acid,1963,635.29,1247074.27
PO-2024-00802,VEND-0115,PLNT-03,2024-04-02,Cardamom Oil,3605,147.52,531809.6
PO-2024-00803,VEND-0044,PLNT-15,2024-10-04,Mint Flavour,2346,804.81,1888084.26
PO-2024-00803,VEND-0044,PLNT-15,2024-10-04,Cardamom Oil,4895,126.57,619560.15
PO-2024-00803,VEND-0044,PLNT-15,2024-10-04,Cardamom Oil,3235,756.06,2445854.1
PO-2024-00803,VEND-0044,PLNT-15,2024-10-04,Cocoa Mass,4397,785.01,3451688.97
PO-2024-00804,VEND-0004,PLNT-08,2024-03-04,Citric Acid,910,336.81,306497.1
PO-2024-00805,VEND-0029,PLNT-10,2024-03-08,Glucose Syrup,4970,789.98,3926200.6
PO-2024-00805,VEND-0029,PLNT-10,2024-03-08,Milk Solids,2333,261.83,610849.39
PO-2024-00805,VEND-0029,PLNT-10,2024-03-08,Milk Solids,4566,204.33,932970.78
PO-2024-00805,VEND-0029,PLNT-10,2024-03-08,Milk Solids,4126,412.36,1701397.36
PO-2024-00806,VEND-0019,PLNT-07,2025-02-09,Permitted Colour,3922,354.33,1389682.26
PO-2024-00806,VEND-0019,PLNT-07,2025-02-09,Citric Acid,2667,358.33,955666.11
PO-2024-00806,VEND-0019,PLNT-07,2025-02-09,Cardamom Oil,2884,245.42,707791.28
PO-2024-00806,VEND-0019,PLNT-07,2025-02-09,Cocoa Mass,525,455.9,239347.5
PO-2024-00807,VEND-0100,PLNT-13,2024-10-21,Cocoa Mass,1164,32.68,38039.52
PO-2024-00807,VEND-0100,PLNT-13,2024-10-21,Cardamom Oil,1853,127.68,236591.04
PO-2024-00807,VEND-0100,PLNT-13,2024-10-21,Citric Acid,239,516.87,123531.93
PO-2024-00807,VEND-0100,PLNT-13,2024-10-21,Mint Flavour,1222,799.03,976414.66
PO-2024-00808,VEND-0096,PLNT-09,2025-04-20,IT AMC,4625,304.51,1408358.75
PO-2024-00809,VEND-0077,PLNT-02,2024-06-15,Cold-Chain Haulage,167,129.73,21664.91
PO-2024-00810,VEND-0064,PLNT-08,2024-02-10,Cocoa Mass,187,731.3,136753.1
PO-2024-00811,VEND-0039,PLNT-06,2025-01-15,PET Bottle 500ml,4449,771.69,3433248.81
PO-2024-00811,VEND-0039,PLNT-06,2025-01-15,Wrapper Film,389,179.17,69697.13
PO-2024-00812,VEND-0010,PLNT-02,2024-11-05,Mint Flavour,524,721.94,378296.56
PO-2024-00812,VEND-0010,PLNT-02,2024-11-05,Mint Flavour,2627,223.43,586950.61
PO-2024-00812,VEND-0010,PLNT-02,2024-11-05,Cocoa Mass,2483,318.97,792002.51
PO-2024-00812,VEND-0010,PLNT-02,2024-11-05,Permitted Colour,220,67.19,14781.8
PO-2024-00813,VEND-0055,PLNT-09,2024-01-28,Consulting,921,342.1,315074.1
PO-2024-00813,VEND-0055,PLNT-09,2024-01-28,AMC-Machinery,4863,66.05,321201.15
PO-2024-00813,VEND-0055,PLNT-09,2024-01-28,Consulting,321,577.41,185348.61
PO-2024-00814,VEND-0011,PLNT-01,2024-10-16,Warehousing,2759,752.96,2077416.64
PO-2024-00815,VEND-0005,PLNT-01,2025-04-21,Warehousing,61,336.0,20496.0
PO-2024-00815,VEND-0005,PLNT-01,2025-04-21,Warehousing,689,543.49,374464.61
PO-2024-00815,VEND-0005,PLNT-01,2025-04-21,Secondary Freight,3102,349.33,1083621.66
PO-2024-00815,VEND-0005,PLNT-01,2025-04-21,Warehousing,469,240.97,113014.93
PO-2024-00816,VEND-0082,PLNT-10,2024-08-10,Primary Freight,1964,125.58,246639.12
PO-2024-00816,VEND-0082,PLNT-10,2024-08-10,Warehousing,2689,8.37,22506.93
PO-2024-00817,VEND-0031,PLNT-03,2024-07-15,Permitted Colour,1741,67.15,116908.15
PO-2024-00818,VEND-0072,PLNT-01,2024-05-12,Secondary Freight,2697,112.05,302198.85
PO-2024-00818,VEND-0072,PLNT-01,2024-05-12,Primary Freight,560,579.94,324766.4
PO-2024-00818,VEND-0072,PLNT-01,2024-05-12,Warehousing,1473,654.8,964520.4
PO-2024-00818,VEND-0072,PLNT-01,2024-05-12,Secondary Freight,1504,301.64,453666.56
PO-2024-00819,VEND-0120,PLNT-05,2024-05-27,Wrapper Film,4347,404.97,1760404.59
PO-2024-00820,VEND-0054,PLNT-15,2025-02-10,AMC-Machinery,2348,553.98,1300745.04
PO-2024-00821,VEND-0073,PLNT-10,2025-02-21,Shrink Sleeve,4596,662.02,3042643.92
PO-2024-00821,VEND-0073,PLNT-10,2025-02-21,PET Bottle 500ml,3844,651.1,2502828.4
PO-2024-00821,VEND-0073,PLNT-10,2025-02-21,Shrink Sleeve,4033,327.74,1321775.42
PO-2024-00822,VEND-0045,PLNT-13,2024-08-16,Menthol Crystals,2283,46.48,106113.84
PO-2024-00822,VEND-0045,PLNT-13,2024-08-16,Edible Starch,1377,838.9,1155165.3
PO-2024-00822,VEND-0045,PLNT-13,2024-08-16,Glucose Syrup,69,622.89,42979.41
PO-2024-00823,VEND-0084,PLNT-13,2024-07-03,PET Bottle 500ml,4463,589.92,2632812.96
PO-2024-00823,VEND-0084,PLNT-13,2024-07-03,PET Bottle 500ml,3213,418.5,1344640.5
PO-2024-00824,VEND-0088,PLNT-11,2024-01-05,Warehousing,2006,357.85,717847.1
PO-2024-00824,VEND-0088,PLNT-11,2024-01-05,Cold-Chain Haulage,2152,389.88,839021.76
PO-2024-00824,VEND-0088,PLNT-11,2024-01-05,Cold-Chain Haulage,3928,891.64,3502361.92
PO-2024-00824,VEND-0088,PLNT-11,2024-01-05,Warehousing,2156,638.45,1376498.2
PO-2024-00825,VEND-0001,PLNT-09,2024-07-19,Edible Starch,231,478.81,110605.11
PO-2024-00826,VEND-0103,PLNT-08,2024-12-22,Consulting,3653,649.76,2373573.28
PO-2024-00827,VEND-0115,PLNT-09,2024-12-02,Mint Flavour,4206,129.38,544172.28
PO-2024-00828,VEND-0024,PLNT-15,2025-02-19,Secondary Freight,2392,140.65,336434.8
PO-2024-00828,VEND-0024,PLNT-15,2025-02-19,Secondary Freight,3951,418.27,1652584.77
PO-2024-00829,VEND-0057,PLNT-05,2024-09-30,Edible Starch,2816,173.92,489758.72
PO-2024-00829,VEND-0057,PLNT-05,2024-09-30,Edible Starch,1478,612.2,904831.6
PO-2024-00830,VEND-0116,PLNT-07,2024-02-12,Housekeeping,773,36.84,28477.32
PO-2024-00831,VEND-0041,PLNT-11,2024-07-05,PET Bottle 500ml,4519,146.62,662575.78
PO-2024-00831,VEND-0041,PLNT-11,2024-07-05,Mono Carton,1276,483.78,617303.28
PO-2024-00831,VEND-0041,PLNT-11,2024-07-05,Corrugated Box,1767,182.38,322265.46
PO-2024-00832,VEND-0076,PLNT-13,2024-08-06,Warehousing,1415,138.17,195510.55
PO-2024-00833,VEND-0109,PLNT-09,2024-12-18,Milk Solids,817,411.4,336113.8
PO-2024-00833,VEND-0109,PLNT-09,2024-12-18,Milk Solids,1592,394.9,628680.8
PO-2024-00834,VEND-0045,PLNT-13,2024-09-21,Edible Starch,1166,322.06,375521.96
PO-2024-00834,VEND-0045,PLNT-13,2024-09-21,Milk Solids,527,383.31,202004.37
PO-2024-00834,VEND-0045,PLNT-13,2024-09-21,Refined Sugar,421,604.48,254486.08
PO-2024-00834,VEND-0045,PLNT-13,2024-09-21,Menthol Crystals,471,512.8,241528.8
PO-2024-00835,VEND-0007,PLNT-06,2024-01-13,IT AMC,878,157.0,137846.0
PO-2024-00836,VEND-0027,PLNT-11,2025-05-21,Warehousing,3100,345.74,1071794.0
PO-2024-00836,VEND-0027,PLNT-11,2025-05-21,Primary Freight,914,190.61,174217.54
PO-2024-00837,VEND-0014,PLNT-01,2024-06-18,Cocoa Mass,2922,588.59,1719859.98
PO-2024-00837,VEND-0014,PLNT-01,2024-06-18,Cardamom Oil,4602,106.78,491401.56
PO-2024-00837,VEND-0014,PLNT-01,2024-06-18,Mint Flavour,4749,226.83,1077215.67
PO-2024-00837,VEND-0014,PLNT-01,2024-06-18,Citric Acid,2436,797.34,1942320.24
PO-2024-00838,VEND-0003,PLNT-04,2024-01-30,Mono Carton,2293,755.82,1733095.26
PO-2024-00838,VEND-0003,PLNT-04,2024-01-30,PET Bottle 500ml,964,722.56,696547.84
PO-2024-00838,VEND-0003,PLNT-04,2024-01-30,Mono Carton,419,41.3,17304.7
PO-2024-00839,VEND-0117,PLNT-11,2024-09-06,IT AMC,2988,31.03,92717.64
PO-2024-00839,VEND-0117,PLNT-11,2024-09-06,Housekeeping,393,656.62,258051.66
PO-2024-00839,VEND-0117,PLNT-11,2024-09-06,AMC-Machinery,225,195.47,43980.75
PO-2024-00840,VEND-0005,PLNT-10,2024-08-16,Cold-Chain Haulage,3496,355.47,1242723.12
PO-2024-00840,VEND-0005,PLNT-10,2024-08-16,Warehousing,1378,85.28,117515.84
PO-2024-00840,VEND-0005,PLNT-10,2024-08-16,Cold-Chain Haulage,4985,508.17,2533227.45
PO-2024-00840,VEND-0005,PLNT-10,2024-08-16,Cold-Chain Haulage,4201,458.16,1924730.16
PO-2024-00841,VEND-0050,PLNT-01,2024-07-19,Warehousing,4510,817.76,3688097.6
PO-2024-00841,VEND-0050,PLNT-01,2024-07-19,Primary Freight,4646,892.0,4144232.0
PO-2024-00841,VEND-0050,PLNT-01,2024-07-19,Secondary Freight,3233,718.05,2321455.65
PO-2024-00842,VEND-0115,PLNT-13,2025-05-19,Cardamom Oil,2200,190.34,418748.0
PO-2024-00842,VEND-0115,PLNT-13,2025-05-19,Citric Acid,4827,453.62,2189623.74
PO-2024-00843,VEND-0013,PLNT-14,2024-03-28,IT AMC,489,626.24,306231.36
PO-2024-00843,VEND-0013,PLNT-14,2024-03-28,Consulting,2263,319.66,723390.58
PO-2024-00843,VEND-0013,PLNT-14,2024-03-28,Security Services,4250,640.8,2723400.0
PO-2024-00843,VEND-0013,PLNT-14,2024-03-28,Housekeeping,4296,762.59,3276086.64
PO-2024-00844,VEND-0046,PLNT-05,2025-04-23,Secondary Freight,99,482.1,47727.9
PO-2024-00844,VEND-0046,PLNT-05,2025-04-23,Primary Freight,2553,638.19,1629299.07
PO-2024-00844,VEND-0046,PLNT-05,2025-04-23,Cold-Chain Haulage,4409,543.49,2396247.41
PO-2024-00845,VEND-0041,PLNT-09,2024-05-09,Corrugated Box,1426,541.04,771523.04
PO-2024-00845,VEND-0041,PLNT-09,2024-05-09,Shrink Sleeve,594,172.38,102393.72
PO-2024-00845,VEND-0041,PLNT-09,2024-05-09,Wrapper Film,4256,524.51,2232314.56
PO-2024-00845,VEND-0041,PLNT-09,2024-05-09,Corrugated Box,4240,367.52,1558284.8
PO-2024-00846,VEND-0046,PLNT-13,2024-08-23,Primary Freight,2570,426.78,1096824.6
PO-2024-00846,VEND-0046,PLNT-13,2024-08-23,Secondary Freight,4232,346.11,1464737.52
PO-2024-00847,VEND-0114,PLNT-04,2024-10-30,Cardamom Oil,2940,786.74,2313015.6
PO-2024-00848,VEND-0058,PLNT-11,2025-04-20,AMC-Machinery,1456,577.03,840155.68
PO-2024-00848,VEND-0058,PLNT-11,2025-04-20,Housekeeping,4836,656.53,3174979.08
PO-2024-00849,VEND-0029,PLNT-07,2025-02-03,Refined Sugar,3129,688.79,2155223.91
PO-2024-00849,VEND-0029,PLNT-07,2025-02-03,Glucose Syrup,4600,394.41,1814286.0
PO-2024-00849,VEND-0029,PLNT-07,2025-02-03,Menthol Crystals,3919,453.89,1778794.91
PO-2024-00849,VEND-0029,PLNT-07,2025-02-03,Glucose Syrup,1404,300.73,422224.92
PO-2024-00850,VEND-0049,PLNT-07,2024-10-01,Warehousing,1773,578.35,1025414.55
PO-2024-00850,VEND-0049,PLNT-07,2024-10-01,Warehousing,4603,123.11,566675.33
PO-2024-00850,VEND-0049,PLNT-07,2024-10-01,Primary Freight,2624,783.33,2055457.92
PO-2024-00851,VEND-0017,PLNT-11,2024-08-21,Mint Flavour,2789,634.23,1768867.47
PO-2024-00851,VEND-0017,PLNT-11,2024-08-21,Cardamom Oil,2315,54.03,125079.45
