invoice_no,material,qty,rate,amount
INV/001464,Refined Sugar,3547,720.96,2557245.12
INV/001464,Menthol Crystals,2244,411.76,923989.44
INV/001464,Edible Starch,2556,383.1,979203.6
INV/001465,Secondary Freight,1401,570.65,799480.65
INV/001466,AMC-Machinery,1985,688.04,1365759.4
INV/001466,AMC-Machinery,4181,193.58,809357.98
INV/001466,Housekeeping,1535,494.88,759640.8
INV/001467,Cocoa Mass,3490,876.05,3057414.5
INV/001468,AMC-Machinery,1344,896.1,1204358.4
INV/001468,Housekeeping,1217,215.51,262275.67
INV/001468,Consulting,2838,450.44,1278348.72
INV/001469,Glucose Syrup,4292,692.46,2972038.32
INV/001470,Refined Sugar,2628,766.13,2013389.64
INV/001471,Primary Freight,1247,784.1,977772.7
INV/001472,Secondary Freight,1530,686.99,1051094.7
INV/001472,Secondary Freight,2253,100.87,227260.11
INV/001473,Security Services,1868,226.84,423737.12
INV/001473,Consulting,2411,67.06,161681.66
INV/001474,Corrugated Box,4649,641.65,2983030.85
INV/001474,Corrugated Box,2043,594.06,1213664.58
INV/001474,Corrugated Box,3000,589.78,1769340.0
INV/001474,Wrapper Film,4608,868.16,4000481.28
INV/001475,Cold-Chain Haulage,557,478.1,266301.7
INV/001475,Primary Freight,55,590.37,32470.35
INV/001475,Primary Freight,722,336.96,243285.12
INV/001475,Cold-Chain Haulage,3600,271.71,978156.0
INV/001476,Security Services,4092,238.01,973936.92
INV/001476,IT AMC,1831,711.6,1302939.6
INV/001476,Housekeeping,3080,458.76,1412980.8
INV/001476,IT AMC,3638,355.01,1291526.38
INV/001477,Refined Sugar,1915,827.56,1584777.4
INV/001477,Glucose Syrup,558,836.88,466979.04
INV/001477,Milk Solids,3315,431.18,1429361.7
INV/001477,Menthol Crystals,2689,844.02,2269569.78
INV/001478,Cocoa Mass,2475,195.59,484085.25
INV/001478,Cocoa Mass,2338,350.03,818370.14
INV/001478,Permitted Colour,4939,332.29,1641180.31
INV/001478,Citric Acid,4694,682.99,3205955.06
INV/001479,Cardamom Oil,938,888.98,833863.24
INV/001479,Cardamom Oil,2484,202.62,503308.08
INV/001479,Permitted Colour,4734,867.16,4105135.44
INV/001480,Housekeeping,2604,850.25,2214051.0
INV/001481,Permitted Colour,1299,822.26,1068115.74
INV/001481,Mint Flavour,4436,364.88,1618607.68
INV/001481,Citric Acid,2170,257.05,557798.5
INV/001482,Corrugated Box,4543,309.35,1405377.05
INV/001482,Mono Carton,2912,250.73,730125.76
INV/001482,Shrink Sleeve,1736,132.47,229967.92
INV/001483,Security Services,2217,239.85,531747.45
INV/001484,Corrugated Box,3014,169.28,510209.92
INV/001484,Corrugated Box,2826,763.57,2157848.82
INV/001484,Corrugated Box,244,319.92,78060.48
INV/001485,Menthol Crystals,952,44.57,42430.64
INV/001485,Edible Starch,4023,792.31,3187463.13
INV/001485,Edible Starch,1146,670.0,767820.0
INV/001485,Milk Solids,4844,114.96,556866.24
INV/001486,IT AMC,4425,512.49,2267768.25
INV/001487,Menthol Crystals,4876,517.34,2522549.84
INV/001487,Edible Starch,3422,367.93,1259056.46
INV/001487,Menthol Crystals,2607,129.62,337919.34
INV/001488,Security Services,4827,692.74,3343855.98
INV/001488,AMC-Machinery,2790,646.65,1804153.5
INV/001488,Housekeeping,1250,26.22,32775.0
INV/001489,Mint Flavour,1919,242.75,465837.25
INV/001490,PET Bottle 500ml,4559,470.47,2144872.73
INV/001490,Wrapper Film,2211,501.17,1108086.87
INV/001491,Citric Acid,231,262.55,60649.05
INV/001491,Citric Acid,3706,552.97,2049306.82
INV/001492,Cocoa Mass,1880,234.08,440070.4
INV/001493,Permitted Colour,2123,291.03,617856.69
INV/001493,Cardamom Oil,4592,200.3,919777.6
INV/001494,Secondary Freight,284,522.46,148378.64
INV/001495,Glucose Syrup,304,809.47,246078.88
INV/001496,Mint Flavour,4822,112.63,543101.86
INV/001496,Cocoa Mass,648,299.83,194289.84
INV/001496,Cocoa Mass,4365,861.21,3759181.65
INV/001496,Permitted Colour,2152,81.92,176291.84
INV/001497,Glucose Syrup,1018,620.33,631495.94
INV/001497,Refined Sugar,3303,180.59,596488.77
INV/001497,Refined Sugar,3205,285.71,915700.55
INV/001497,Glucose Syrup,3557,898.82,3197102.74
INV/001498,Milk Solids,2967,501.05,1486615.35
INV/001498,Edible Starch,4404,612.88,2699123.52
INV/001499,Housekeeping,1516,607.69,921258.04
INV/001499,AMC-Machinery,306,147.8,45226.8
INV/001499,AMC-Machinery,4596,774.31,3558728.76
INV/001499,Security Services,2191,92.22,202054.02
INV/001500,IT AMC,905,721.41,652876.05
INV/001501,Primary Freight,1958,532.79,1043202.82
INV/001502,Warehousing,870,331.84,288700.8
INV/001502,Secondary Freight,251,604.64,151764.64
INV/001503,Warehousing,4271,859.38,3670411.98
INV/001503,Cold-Chain Haulage,432,289.17,124921.44
INV/001503,Warehousing,803,206.78,166044.34
INV/001504,Mint Flavour,1477,170.16,251326.32
INV/001505,Cocoa Mass,3484,816.42,2844407.28
INV/001505,Permitted Colour,4315,435.3,1878319.5
INV/001505,Cocoa Mass,354,299.58,106051.32
INV/001505,Permitted Colour,894,268.87,240369.78
INV/001506,Housekeeping,3430,118.11,405117.3
INV/001506,AMC-Machinery,3624,105.42,382042.08
INV/001507,Cold-Chain Haulage,1746,677.81,1183456.26
INV/001508,Mint Flavour,1098,172.86,189800.28
INV/001508,Cardamom Oil,4387,244.69,1073455.03
INV/001508,Cocoa Mass,3829,649.82,2488160.78
INV/001508,Mint Flavour,983,231.01,227082.83
INV/001509,Warehousing,94,796.23,74845.62
INV/001509,Secondary Freight,745,710.81,529553.45
INV/001509,Warehousing,3652,72.07,263199.64
INV/001509,Secondary Freight,1717,725.69,1246009.73
INV/001510,Primary Freight,3988,633.55,2526597.4
INV/001510,Cold-Chain Haulage,2155,829.37,1787292.35
INV/001510,Cold-Chain Haulage,4238,210.74,893116.12
INV/001510-D,Primary Freight,3988,633.55,2526597.4
INV/001510-D,Cold-Chain Haulage,2155,829.37,1787292.35
INV/001510-D,Cold-Chain Haulage,4238,210.74,893116.12
INV/001511,Cold-Chain Haulage,2635,362.63,955530.05
INV/001511,Warehousing,376,846.52,318291.52
INV/001511,Primary Freight,1834,204.83,375658.22
INV/001511,Warehousing,2533,323.46,819324.18
INV/001512,Cold-Chain Haulage,2981,585.77,1746180.37
INV/001512,Warehousing,812,22.87,18570.44
INV/001513,Secondary Freight,4440,115.16,511310.4
INV/001514,Mono Carton,2145,461.5,989917.5
INV/001515,PET Bottle 500ml,1291,698.26,901453.66
INV/001516,Mint Flavour,4693,799.39,3751537.27
INV/001517,Refined Sugar,2644,587.0,1552028.0
INV/001517,Milk Solids,1888,76.4,144243.2
INV/001517,Edible Starch,3855,94.09,362716.95
INV/001517,Refined Sugar,2430,229.47,557612.1
INV/001518,Consulting,3748,63.09,236461.32
INV/001518,AMC-Machinery,1598,56.54,90350.92
INV/001519,Glucose Syrup,4569,683.36,3122271.84
INV/001519,Milk Solids,2222,667.95,1484184.9
INV/001519,Edible Starch,3259,715.03,2330282.77
INV/001520,Security Services,4575,421.09,1926486.75
INV/001520,AMC-Machinery,4117,219.28,902775.76
INV/001520,Housekeeping,4277,231.19,988799.63
INV/001521,Cardamom Oil,1676,186.39,312389.64
INV/001521,Cardamom Oil,1238,430.97,533540.86
INV/001521,Mint Flavour,4009,212.57,852193.13
INV/001521,Citric Acid,299,323.5,96726.5
INV/001522,Consulting,4398,493.0,2168214.0
INV/001522,Housekeeping,338,63.29,21392.02
INV/001522,Housekeeping,1469,129.91,190837.79
INV/001523,Primary Freight,968,292.62,283256.16
INV/001523,Primary Freight,3920,862.9,3382568.0
INV/001524,IT AMC,3922,120.91,474209.02
INV/001524,Housekeeping,715,371.45,265586.75
INV/001525,Edible Starch,2533,76.77,194458.41
INV/001525,Glucose Syrup,3492,261.96,914764.32
INV/001526,Edible Starch,690,752.69,519356.1
INV/001526,Glucose Syrup,1181,330.27,390048.87
INV/001527,Cardamom Oil,4257,658.52,2803319.64
INV/001527,Cocoa Mass,3505,663.35,2325041.75
INV/001527,Cardamom Oil,4386,580.82,2547476.52
INV/001528,Mono Carton,4251,699.58,2973914.58
INV/001528,Mono Carton,1294,239.7,310171.8
INV/001528,Corrugated Box,2908,788.89,2294092.12
INV/001528,Mono Carton,2892,210.88,609864.96
INV/001529,Primary Freight,2247,101.48,228025.56
INV/001529,Cold-Chain Haulage,920,206.32,189814.4
INV/001529,Secondary Freight,733,20.54,15055.82
INV/001530,Glucose Syrup,2193,464.55,1018758.15
INV/001530,Refined Sugar,1707,774.94,1322822.58
INV/001531,Permitted Colour,268,748.34,200555.12
INV/001531,Permitted Colour,4539,550.01,2496495.39
INV/001532,Refined Sugar,873,39.62,34588.26
INV/001532,Menthol Crystals,575,226.1,130007.5
INV/001533,Glucose Syrup,3083,169.64,523000.12
INV/001533,Edible Starch,280,182.57,51119.6
INV/001534,Glucose Syrup,802,414.85,332709.7
INV/001534,Menthol Crystals,333,932.16,310409.28
INV/001534,Glucose Syrup,501,408.18,204498.18
INV/001535,Wrapper Film,4219,831.08,3506326.52
INV/001536,Glucose Syrup,4886,795.29,3885786.94
INV/001536,Edible Starch,2328,281.06,654307.68
INV/001536,Glucose Syrup,2385,831.6,1983366.0
INV/001536,Edible Starch,3156,161.15,508589.4
INV/001537,Mint Flavour,894,395.21,353317.74
INV/001538,Refined Sugar,374,809.16,302625.84
INV/001538,Milk Solids,673,540.54,363783.42
INV/001538,Refined Sugar,1538,264.43,406693.34
INV/001538,Refined Sugar,1665,179.68,299167.2
INV/001539,Primary Freight,3927,133.06,522526.62
INV/001539,Primary Freight,1295,637.88,826054.6
INV/001540,Shrink Sleeve,2299,634.69,1459152.31
INV/001540,Wrapper Film,4108,785.02,3224862.16
INV/001541,Warehousing,2257,880.31,1986859.67
INV/001541,Cold-Chain Haulage,785,709.63,557059.55
INV/001541,Cold-Chain Haulage,4952,155.39,769491.28
INV/001542,AMC-Machinery,2047,340.21,696409.87
INV/001542,Consulting,3395,465.46,1580236.7
INV/001543,Milk Solids,4107,503.4,2067463.8
INV/001544,Cardamom Oil,2569,735.38,1889191.22
INV/001544,Mint Flavour,1930,651.79,1257954.7
INV/001544,Citric Acid,4713,102.19,481621.47
INV/001545,Milk Solids,3479,752.63,2618399.77
INV/001545,Glucose Syrup,4656,74.14,345195.84
INV/001546,Citric Acid,2475,764.16,1891296.0
INV/001547,Secondary Freight,2178,681.67,1484677.26
INV/001547,Secondary Freight,1230,765.56,941638.8
INV/001548,Cold-Chain Haulage,300,258.72,77616.0
INV/001548,Cold-Chain Haulage,2496,711.26,1775304.96
INV/001548,Warehousing,176,236.29,41587.04
INV/001549,Cold-Chain Haulage,4803,335.62,1611982.86
INV/001549,Cold-Chain Haulage,1672,676.68,1131408.96
INV/001549,Warehousing,487,27.0,13149.0
INV/001550,Mint Flavour,76,447.53,34012.28
INV/001550,Mint Flavour,3417,590.25,2016884.25
INV/001550,Citric Acid,2148,266.45,572334.6
INV/001551,Cold-Chain Haulage,1822,735.77,1340572.94
INV/001551,Warehousing,1590,363.91,578616.9
INV/001551,Warehousing,3797,312.5,1186562.5
INV/001551,Secondary Freight,4048,80.88,327402.24
INV/001552,Cold-Chain Haulage,4861,719.96,3499725.56
INV/001553,Edible Starch,1937,631.48,1223176.76
INV/001553,Menthol Crystals,663,257.78,170908.14
INV/001553,Edible Starch,3865,859.61,3322392.65
INV/001554,Citric Acid,4460,31.85,142051.0
INV/001554,Mint Flavour,565,33.13,18718.45
INV/001554,Cocoa Mass,4877,627.89,3062219.53
INV/001555,Primary Freight,1406,359.34,505232.04
INV/001555,Cold-Chain Haulage,2690,470.81,1266478.9
INV/001555,Warehousing,3583,427.45,1531553.35
INV/001555,Warehousing,2623,554.75,1455109.25
INV/001556,Citric Acid,68,774.95,52696.6
INV/001556,Cardamom Oil,3025,250.0,756250.0
INV/001557,Wrapper Film,4823,323.08,1558214.84
INV/001558,Cardamom Oil,2804,369.05,1034816.2
INV/001559,Cold-Chain Haulage,2614,714.34,1867284.76
INV/001560,Edible Starch,2652,523.28,1387738.56
INV/001560,Milk Solids,3031,52.32,158581.92
INV/001560,Milk Solids,1087,656.74,713876.38
INV/001560,Edible Starch,344,102.16,35143.04
INV/001561,Permitted Colour,3959,728.18,2882864.62
INV/001561,Cardamom Oil,4574,52.21,238808.54
INV/001561,Cardamom Oil,4218,389.66,1643585.88
INV/001562,Mint Flavour,2966,317.71,942327.86
INV/001562,Permitted Colour,2029,590.25,1197617.25
INV/001562,Citric Acid,1418,127.19,180355.42
INV/001562,Mint Flavour,223,522.19,116448.37
INV/001563,Corrugated Box,3545,865.27,3067382.15
INV/001563,Shrink Sleeve,1060,649.93,688925.8
INV/001564,Primary Freight,2235,176.99,395572.65
INV/001565,AMC-Machinery,3679,402.34,1480208.86
INV/001565,Security Services,3762,750.61,2823794.82
INV/001565,IT AMC,2986,894.05,2669633.3
INV/001566,Edible Starch,386,306.07,118143.02
INV/001566,Refined Sugar,4543,600.63,2728662.09
INV/001566,Edible Starch,1134,503.33,570776.22
INV/001566,Milk Solids,1353,689.1,932352.3
INV/001567,Warehousing,864,700.51,605240.64
INV/001567,Primary Freight,4862,201.63,980325.06
INV/001567,Primary Freight,4924,194.61,958259.64
INV/001567,Secondary Freight,607,385.1,233755.7
INV/001568,Primary Freight,2112,252.24,532730.88
INV/001568,Secondary Freight,4717,432.64,2040762.88
INV/001568,Secondary Freight,1934,644.73,1246907.82
INV/001569,Glucose Syrup,4897,177.67,870049.99
INV/001569,Milk Solids,4968,98.22,487956.96
INV/001570,Permitted Colour,68,78.61,5345.48
INV/001570,Citric Acid,1440,213.96,308102.4
INV/001571,Menthol Crystals,4538,138.74,629602.12
INV/001572,Security Services,2539,450.04,1142651.56
INV/001572,Security Services,1760,609.11,1072033.6
INV/001572,Consulting,184,276.68,50909.12
INV/001572,Security Services,4120,194.62,801834.4
INV/001573,Glucose Syrup,3405,466.51,1588466.55
INV/001573,Refined Sugar,1094,134.18,146792.92
INV/001573,Edible Starch,1180,442.42,522055.6
INV/001574,Warehousing,4564,874.01,3988981.64
INV/001575,Security Services,3063,534.45,1637020.35
INV/001576,Security Services,1727,751.93,1298583.11
INV/001576,Consulting,2911,478.44,1392738.84
INV/001577,PET Bottle 500ml,1050,306.48,321804.0
INV/001578,Permitted Colour,4448,380.19,1691085.12
INV/001578,Cocoa Mass,3871,276.81,1071531.51
INV/001578,Mint Flavour,4331,651.32,2820866.92
INV/001578,Cocoa Mass,1969,592.62,1166868.78
INV/001579,Cardamom Oil,3364,401.83,1351756.12
INV/001579,Citric Acid,868,431.54,374576.72
INV/001579,Permitted Colour,3208,700.78,2248102.24
INV/001580,Mono Carton,4729,460.29,2176711.41
INV/001581,Citric Acid,4345,866.4,3764508.0
INV/001582,Shrink Sleeve,1379,539.68,744218.72
INV/001582,Shrink Sleeve,2091,188.81,394801.71
INV/001583,Secondary Freight,989,762.62,754231.18
INV/001583,Secondary Freight,1568,661.02,1036479.36
INV/001584,Wrapper Film,1979,705.04,1395274.16
INV/001584,Wrapper Film,3928,456.88,1794624.64
INV/001584,Corrugated Box,1070,113.47,121412.9
INV/001584,Shrink Sleeve,3651,472.17,1723892.67
INV/001585,IT AMC,480,56.48,27110.4
INV/001585,AMC-Machinery,3089,93.04,287400.56
INV/001585,Security Services,3132,759.68,2379317.76
INV/001586,AMC-Machinery,883,885.21,781640.43
INV/001586,AMC-Machinery,2908,92.42,268757.36
INV/001586,Housekeeping,198,536.54,106234.92
INV/001587,Primary Freight,3351,625.69,2096687.19
INV/001588,Citric Acid,1916,868.22,1663509.52
INV/001588,Citric Acid,2848,754.12,2147733.76
INV/001588,Cardamom Oil,634,818.24,518764.16
INV/001588,Mint Flavour,84,729.49,61277.16
INV/001589,Warehousing,1691,893.86,1511517.26
INV/001589,Warehousing,2151,267.09,574510.59
INV/001589,Warehousing,4180,813.35,3399803.0
INV/001590,Menthol Crystals,3134,774.99,2428818.66
INV/001590,Milk Solids,3808,110.08,419184.64
INV/001591,Citric Acid,3371,925.29,3119152.59
INV/001591,Permitted Colour,1542,294.98,454859.16
INV/001591,Citric Acid,1765,563.9,995283.5
INV/001591,Citric Acid,3657,461.22,1686681.54
INV/001592,Menthol Crystals,2236,681.08,1522894.88
INV/001593,Mint Flavour,2558,312.7,799886.6
INV/001594,Milk Solids,57,316.2,18023.4
INV/001594,Menthol Crystals,3609,854.15,3082627.35
INV/001594,Edible Starch,1840,47.94,88209.6
INV/001594,Glucose Syrup,212,523.41,110962.92
INV/001595,Consulting,140,295.57,41379.8
INV/001596,Cold-Chain Haulage,4975,589.84,2934454.0
INV/001596,Primary Freight,3146,164.95,518932.7
INV/001596,Primary Freight,329,665.38,218910.02
INV/001597,Shrink Sleeve,2434,689.33,1677829.22
INV/001598,Cocoa Mass,2776,608.8,1690028.8
INV/001598,Mint Flavour,3387,552.84,1872469.08
INV/001598,Permitted Colour,559,184.45,103107.55
INV/001599,PET Bottle 500ml,4427,898.21,3976375.67
INV/001599,Wrapper Film,4669,441.69,2062250.61
INV/001600,Permitted Colour,283,412.39,116706.37
INV/001600,Cocoa Mass,370,298.02,110267.4
INV/001600,Citric Acid,3946,707.72,2792663.12
INV/001600,Permitted Colour,2013,628.42,1265009.46
INV/001601,Consulting,4667,88.15,411396.05
INV/001602,Housekeeping,488,246.11,120101.68
INV/001602,AMC-Machinery,2233,776.11,1733053.63
INV/001602,IT AMC,4424,831.41,3678157.84
INV/001603,Refined Sugar,1377,574.66,791306.82
INV/001603,Edible Starch,4294,485.02,2082675.88
INV/001603,Edible Starch,2074,438.1,908619.4
INV/001603,Glucose Syrup,2291,694.14,1590274.74
INV/001604,PET Bottle 500ml,674,232.29,156563.46
INV/001604,Mono Carton,1073,804.04,862734.92
INV/001604,Corrugated Box,1870,221.27,413774.9
INV/001604,PET Bottle 500ml,2374,206.93,491251.82
INV/001605,IT AMC,2311,895.88,2070378.68
INV/001605,Consulting,4761,754.96,3594364.56
INV/001605,IT AMC,4498,334.52,1504670.96
INV/001606,Glucose Syrup,4177,201.27,840704.79
INV/001606,Milk Solids,900,42.52,38268.0
INV/001606,Glucose Syrup,1156,622.18,719240.08
INV/001606,Glucose Syrup,3064,11.0,33704.0
INV/001607,Wrapper Film,242,51.32,12419.44
INV/001608,Cold-Chain Haulage,2981,854.84,2548278.04
INV/001608,Cold-Chain Haulage,3819,362.95,1386106.05
INV/001609,Milk Solids,107,441.97,47290.79
INV/001610,AMC-Machinery,213,154.09,32821.17
INV/001610,Consulting,1834,236.17,433135.78
INV/001610,Housekeeping,1745,349.83,610453.35
INV/001610,Security Services,4084,98.28,401375.52
INV/001611,Corrugated Box,4948,645.56,3194230.88
INV/001611,PET Bottle 500ml,1428,559.12,798423.36
INV/001612,Citric Acid,918,828.66,760709.88
INV/001612,Mint Flavour,4264,247.93,1057173.52
INV/001612,Cardamom Oil,1787,736.22,1315625.14
INV/001612,Permitted Colour,4927,716.97,3532511.19
INV/001613,Cocoa Mass,3720,631.34,2348584.8
INV/001613,Cocoa Mass,4775,678.31,3238930.25
INV/001613,Cardamom Oil,3673,178.15,654344.95
INV/001614,Cocoa Mass,441,711.36,313709.76
INV/001614,Cocoa Mass,4175,539.66,2253080.5
INV/001614,Cocoa Mass,2961,574.83,1702071.63
INV/001615,Housekeeping,4346,328.41,1427269.86
INV/001615,Consulting,4995,653.17,3262584.15
INV/001615,AMC-Machinery,1099,413.83,454799.17
INV/001615,Consulting,2722,221.96,604175.12
INV/001616,Menthol Crystals,753,392.8,295778.4
INV/001616,Milk Solids,2939,398.91,1172396.49
INV/001617,Menthol Crystals,2241,761.73,1707036.93
INV/001618,Cardamom Oil,1018,193.31,196789.58
INV/001619,Cardamom Oil,1267,233.86,296300.62
INV/001619,Permitted Colour,2073,650.78,1349066.94
INV/001619,Mint Flavour,590,271.89,160415.1
INV/001619,Cocoa Mass,4370,304.36,1330053.2
INV/001620,AMC-Machinery,291,100.64,29286.24
INV/001620,Consulting,1640,222.35,364654.0
INV/001620,AMC-Machinery,937,426.11,399265.07
INV/001620,IT AMC,416,231.22,96187.52
INV/001621,IT AMC,2283,182.83,417400.89
INV/001621,AMC-Machinery,2188,276.19,604303.72
INV/001621,IT AMC,934,104.6,97696.4
INV/001622,Secondary Freight,4609,237.11,1092839.99
INV/001622,Secondary Freight,2529,331.15,837478.35
INV/001622,Cold-Chain Haulage,4292,136.62,586373.04
INV/001622,Primary Freight,1916,61.21,117278.36
INV/001623,Cold-Chain Haulage,4609,323.44,1490734.96
INV/001623,Primary Freight,2614,74.95,195919.3
INV/001623,Primary Freight,1417,163.9,232246.3
INV/001624,Warehousing,457,415.94,190084.58
INV/001624,Warehousing,3830,860.24,3294719.2
INV/001624,Warehousing,1287,805.15,1036228.05
INV/001624,Cold-Chain Haulage,311,61.9,19250.9
INV/001625,Secondary Freight,4576,529.64,2423632.64
INV/001626,Citric Acid,1647,27.01,44485.47
INV/001626,Citric Acid,3349,555.18,1859297.82
INV/001626,Cocoa Mass,3298,814.65,2686715.7
INV/001627,Warehousing,1013,565.98,573337.74
INV/001627,Primary Freight,2170,144.89,314411.3
INV/001627,Cold-Chain Haulage,3861,292.0,1127412.0
INV/001628,IT AMC,4846,70.07,339559.22
INV/001628,Security Services,2910,725.13,2110128.3
INV/001628,Consulting,2784,55.52,154567.68
INV/001629,Refined Sugar,3751,489.01,1834276.51
INV/001629,Refined Sugar,1943,635.38,1234543.34
INV/001629,Edible Starch,1932,133.05,257052.6
INV/001630,Permitted Colour,3826,327.53,1253129.78
INV/001630,Cocoa Mass,2811,818.57,2301000.27
INV/001630,Cocoa Mass,4814,462.16,2224838.24
INV/001630,Cocoa Mass,1973,111.92,220818.16
INV/001631,Refined Sugar,1659,396.96,658556.64
INV/001632,Permitted Colour,3262,637.09,2078187.58
INV/001632,Citric Acid,3600,333.87,1201932.0
INV/001632,Citric Acid,830,46.47,38570.1
INV/001632,Cardamom Oil,139,895.48,124471.72
INV/001633,Secondary Freight,2566,812.55,2085003.3
INV/001634,Cold-Chain Haulage,4299,692.05,2975122.95
INV/001634,Secondary Freight,4436,568.6,2522309.6
INV/001634,Cold-Chain Haulage,3526,73.12,257821.12
INV/001635,Primary Freight,3047,357.74,1090033.78
INV/001636,Housekeeping,3299,780.11,2573582.89
INV/001636,Housekeeping,622,551.37,342952.14
INV/001637,Citric Acid,3023,551.11,1666005.53
INV/001637,Mint Flavour,4917,630.53,3100316.01
INV/001637-D,Citric Acid,3023,551.11,1666005.53
INV/001637-D,Mint Flavour,4917,630.53,3100316.01
INV/001638,IT AMC,3956,391.05,1546993.8
INV/001639,Cardamom Oil,4915,348.67,1713713.05
INV/001639,Cocoa Mass,1568,649.6,1018572.8
INV/001639,Cocoa Mass,3594,313.76,1127653.44
INV/001640,Housekeeping,3544,898.0,3182512.0
INV/001641,Edible Starch,4353,785.18,3417888.54
INV/001641,Refined Sugar,461,468.27,215872.47
INV/001641,Refined Sugar,431,300.06,129325.86
INV/001642,Secondary Freight,3648,677.66,2472103.68
INV/001642,Primary Freight,2427,744.96,1808017.92
INV/001642,Primary Freight,3464,350.91,1215552.24
INV/001643,Edible Starch,4735,58.5,276997.5
INV/001644,Citric Acid,1049,40.63,42620.87
INV/001645,Consulting,3225,100.69,324725.25
INV/001645,AMC-Machinery,3543,761.93,2699517.99
INV/001645,Housekeeping,248,115.01,28522.48
INV/001646,Cardamom Oil,900,649.58,584622.0
INV/001646,Cocoa Mass,1187,80.34,95363.58
INV/001646,Cocoa Mass,398,423.93,168724.14
INV/001646,Citric Acid,4087,254.65,1040754.55
INV/001647,Housekeeping,342,503.01,172029.42
INV/001647,IT AMC,1478,855.96,1265108.88
INV/001647,Security Services,4589,399.95,1835370.55
INV/001647,IT AMC,1696,800.82,1358190.72
INV/001648,Cocoa Mass,4057,837.91,3399400.87
INV/001649,Cardamom Oil,111,163.15,18109.65
INV/001650,Cocoa Mass,724,84.39,61098.36
INV/001650,Mint Flavour,3701,230.13,851711.13
INV/001651,IT AMC,2848,684.22,1948658.56
INV/001651,Security Services,2707,768.68,2080816.76
INV/001652,Cocoa Mass,2622,572.95,1502274.9
INV/001652,Cocoa Mass,232,300.03,69606.96
INV/001653,Milk Solids,2300,609.82,1402586.0
INV/001653,Refined Sugar,324,779.1,252428.4
INV/001653,Milk Solids,2057,70.62,145265.34
INV/001653,Menthol Crystals,2512,390.15,980056.8
INV/001654,Citric Acid,3620,468.12,1694594.4
INV/001654,Cardamom Oil,767,652.53,500490.51
INV/001655,Secondary Freight,3622,789.21,2858518.62
INV/001656,IT AMC,3041,74.55,226706.55
INV/001656,AMC-Machinery,902,826.24,745268.48
INV/001656,Consulting,4018,617.21,2479949.78
INV/001656,Housekeeping,4518,227.41,1027438.38
INV/001657,Security Services,1153,465.68,536929.04
INV/001657,Housekeeping,4194,775.35,3251817.9
INV/001657,Housekeeping,4121,508.8,2096764.8
INV/001658,Mint Flavour,2117,84.19,178230.23
INV/001658,Permitted Colour,4355,686.17,2988270.35
INV/001658,Cocoa Mass,673,30.0,20190.0
INV/001658-D,Mint Flavour,2117,84.19,178230.23
INV/001658-D,Permitted Colour,4355,686.17,2988270.35
INV/001658-D,Cocoa Mass,673,30.0,20190.0
INV/001659,Citric Acid,70,286.34,20043.8
INV/001659,Cardamom Oil,3470,380.5,1320335.0
INV/001659,Mint Flavour,3828,426.17,1631378.76
INV/001659,Mint Flavour,3160,188.3,595028.0
INV/001660,Warehousing,3527,49.51,174621.77
INV/001660,Cold-Chain Haulage,891,135.77,120971.07
INV/001660,Secondary Freight,3659,165.12,604174.08
INV/001661,Glucose Syrup,2015,849.72,1712185.8
INV/001661,Milk Solids,2254,600.58,1353707.32
INV/001661,Edible Starch,2216,593.71,1315661.36
INV/001662,Citric Acid,1416,568.44,804911.04
INV/001662,Citric Acid,765,496.34,379700.1
INV/001662,Citric Acid,1049,695.54,729621.46
INV/001663,Primary Freight,3596,205.26,738114.96
INV/001664,Cardamom Oil,4640,188.46,874454.4
INV/001664,Mint Flavour,249,137.41,34215.09
INV/001664,Citric Acid,2701,413.19,1116026.19
INV/001664,Citric Acid,814,791.65,644403.1
INV/001665,Consulting,1632,752.14,1227492.48
INV/001665,Consulting,4667,321.0,1498107.0
INV/001665,Security Services,3294,823.43,2712378.42
INV/001665,Security Services,4297,175.94,756014.18
INV/001666,Glucose Syrup,875,483.56,423115.0
INV/001666,Milk Solids,4226,425.25,1797106.5
INV/001667,Primary Freight,563,331.34,186544.42
INV/001668,Edible Starch,762,207.53,158137.86
INV/001668,Glucose Syrup,3699,247.93,917093.07
INV/001668,Refined Sugar,2827,578.58,1635645.66
INV/001668,Milk Solids,1796,276.75,497043.0
INV/001669,Cardamom Oil,4392,655.79,2880229.68
INV/001670,Permitted Colour,2754,792.96,2183811.84
INV/001670,Mint Flavour,553,721.71,399105.63
INV/001670,Citric Acid,2700,144.36,389772.0
INV/001670,Cardamom Oil,2127,147.03,312732.81
INV/001671,Milk Solids,2541,419.87,1066889.67
INV/001671,Refined Sugar,3891,199.81,777460.71
INV/001671,Glucose Syrup,3116,390.11,1215582.76
INV/001671,Milk Solids,2386,220.53,526184.58
INV/001672,Citric Acid,1570,161.26,253178.2
INV/001673,Cardamom Oil,1808,198.31,358544.48
INV/001673,Cardamom Oil,4627,491.75,2275327.25
INV/001673,Mint Flavour,2538,810.29,2056516.02
INV/001673,Cardamom Oil,1212,178.51,216354.12
INV/001674,Edible Starch,989,77.12,76271.68
INV/001675,Milk Solids,3927,384.57,1510206.39
INV/001676,Housekeeping,1861,530.38,987037.18
INV/001676,Consulting,978,677.74,662829.72
INV/001677,Cocoa Mass,3830,56.61,216816.3
