grn_no,po_no,grn_date,material,received_qty
GRN-00540,PO-2024-00540,2024-09-17,AMC-Machinery,4580
GRN-00541,PO-2024-00541,2025-03-04,Cold-Chain Haulage,3850
GRN-00541,PO-2024-00541,2025-03-04,Primary Freight,4345
GRN-00542,PO-2024-00542,2024-10-18,Milk Solids,2765
GRN-00542,PO-2024-00542,2024-10-18,Menthol Crystals,4001
GRN-00542,PO-2024-00542,2024-10-18,Glucose Syrup,2140
GRN-00542,PO-2024-00542,2024-10-18,Menthol Crystals,4982
GRN-00543,PO-2024-00543,2025-03-17,Secondary Freight,3669
GRN-00543,PO-2024-00543,2025-03-17,Warehousing,297
GRN-00543,PO-2024-00543,2025-03-17,Warehousing,2165
GRN-00544,PO-2024-00544,2024-09-30,Citric Acid,3560
GRN-00544,PO-2024-00544,2024-09-30,Permitted Colour,3191
GRN-00544,PO-2024-00544,2024-09-30,Citric Acid,1982
GRN-00544,PO-2024-00544,2024-09-30,Permitted Colour,310
GRN-00545,PO-2024-00545,2024-02-03,Citric Acid,3940
GRN-00545,PO-2024-00545,2024-02-03,Permitted Colour,2203
GRN-00545,PO-2024-00545,2024-02-03,Mint Flavour,2481
GRN-00546,PO-2024-00546,2025-02-03,Consulting,2082
GRN-00547,PO-2024-00547,2024-05-08,Housekeeping,3209
GRN-00547,PO-2024-00547,2024-05-08,Housekeeping,1437
GRN-00547,PO-2024-00547,2024-05-08,AMC-Machinery,860
GRN-00548,PO-2024-00548,2025-06-26,Security Services,3213
GRN-00548,PO-2024-00548,2025-06-26,AMC-Machinery,2324
GRN-00548,PO-2024-00548,2025-06-26,Consulting,1539
GRN-00549,PO-2024-00549,2024-03-21,Warehousing,2805
GRN-00549,PO-2024-00549,2024-03-21,Cold-Chain Haulage,4929
GRN-00549,PO-2024-00549,2024-03-21,Warehousing,958
GRN-00550,PO-2024-00550,2024-07-16,Mint Flavour,4847
GRN-00550,PO-2024-00550,2024-07-16,Mint Flavour,4043
GRN-00550,PO-2024-00550,2024-07-16,Cocoa Mass,875
GRN-00550,PO-2024-00550,2024-07-16,Cardamom Oil,394
GRN-00551,PO-2024-00551,2024-11-06,Permitted Colour,1434
GRN-00551,PO-2024-00551,2024-11-06,Permitted Colour,4654
GRN-00551,PO-2024-00551,2024-11-06,Permitted Colour,631
GRN-00551,PO-2024-00551,2024-11-06,Permitted Colour,4479
GRN-00552,PO-2024-00552,2025-04-05,Shrink Sleeve,192
GRN-00552,PO-2024-00552,2025-04-05,Mono Carton,3743
GRN-00552,PO-2024-00552,2025-04-05,Shrink Sleeve,3418
GRN-00553,PO-2024-00553,2025-03-01,Secondary Freight,376
GRN-00553,PO-2024-00553,2025-03-01,Cold-Chain Haulage,2274
GRN-00554,PO-2024-00554,2025-01-08,Warehousing,4880
GRN-00555,PO-2024-00555,2024-01-23,Cocoa Mass,806
GRN-00555,PO-2024-00555,2024-01-23,Citric Acid,2853
GRN-00556,PO-2024-00556,2025-06-15,Refined Sugar,3737
GRN-00556,PO-2024-00556,2025-06-15,Menthol Crystals,4882
GRN-00557,PO-2024-00557,2024-02-17,Security Services,1952
GRN-00557,PO-2024-00557,2024-02-17,Security Services,2334
GRN-00558,PO-2024-00558,2025-06-30,Secondary Freight,2333
GRN-00558,PO-2024-00558,2025-06-30,Warehousing,2568
GRN-00559,PO-2024-00559,2024-01-31,Citric Acid,4010
GRN-00559,PO-2024-00559,2024-01-31,Mint Flavour,1438
GRN-00559,PO-2024-00559,2024-01-31,Citric Acid,791
GRN-00560,PO-2024-00560,2024-02-25,Shrink Sleeve,2352
GRN-00560,PO-2024-00560,2024-02-25,Mono Carton,4638
GRN-00560,PO-2024-00560,2024-02-25,PET Bottle 500ml,1431
GRN-00561,PO-2024-00561,2025-04-04,Mint Flavour,2583
GRN-00561,PO-2024-00561,2025-04-04,Mint Flavour,2513
GRN-00561,PO-2024-00561,2025-04-04,Mint Flavour,4086
GRN-00562,PO-2024-00562,2024-09-18,Housekeeping,4319
GRN-00562,PO-2024-00562,2024-09-18,AMC-Machinery,4391
GRN-00562,PO-2024-00562,2024-09-18,AMC-Machinery,258
GRN-00563,PO-2024-00563,2025-02-01,Secondary Freight,1809
GRN-00563,PO-2024-00563,2025-02-01,Secondary Freight,3918
GRN-00563,PO-2024-00563,2025-02-01,Cold-Chain Haulage,692
GRN-00563,PO-2024-00563,2025-02-01,Warehousing,4525
GRN-00564,PO-2024-00564,2025-05-14,Wrapper Film,1332
GRN-00565,PO-2024-00565,2024-10-22,Menthol Crystals,1074
GRN-00565,PO-2024-00565,2024-10-22,Menthol Crystals,2251
GRN-00566,PO-2024-00566,2024-09-16,Milk Solids,4986
GRN-00567,PO-2024-00567,2024-03-16,Corrugated Box,1754
GRN-00568,PO-2024-00568,2024-10-24,Milk Solids,1330
GRN-00569,PO-2024-00569,2024-12-09,Mint Flavour,3949
GRN-00569,PO-2024-00569,2024-12-09,Cardamom Oil,3788
GRN-00569,PO-2024-00569,2024-12-09,Cardamom Oil,2014
GRN-00569,PO-2024-00569,2024-12-09,Cocoa Mass,254
GRN-00570,PO-2024-00570,2025-05-06,Mint Flavour,138
GRN-00571,PO-2024-00571,2025-05-25,Refined Sugar,1649
GRN-00571,PO-2024-00571,2025-05-25,Edible Starch,384
GRN-00571,PO-2024-00571,2025-05-25,Menthol Crystals,3410
GRN-00571,PO-2024-00571,2025-05-25,Glucose Syrup,398
GRN-00572,PO-2024-00572,2025-04-01,Cardamom Oil,666
GRN-00573,PO-2024-00573,2025-02-05,PET Bottle 500ml,4609
GRN-00573,PO-2024-00573,2025-02-05,Mono Carton,4384
GRN-00573,PO-2024-00573,2025-02-05,Shrink Sleeve,3145
GRN-00573,PO-2024-00573,2025-02-05,Corrugated Box,5999
GRN-00574,PO-2024-00574,2024-10-10,Consulting,4300
GRN-00574,PO-2024-00574,2024-10-10,IT AMC,4763
GRN-00574,PO-2024-00574,2024-10-10,Consulting,3154
GRN-00575,PO-2024-00575,2025-05-30,Mono Carton,4972
GRN-00575,PO-2024-00575,2025-05-30,Mono Carton,3736
GRN-00575,PO-2024-00575,2025-05-30,Shrink Sleeve,3913
GRN-00575,PO-2024-00575,2025-05-30,Corrugated Box,2964
GRN-00576,PO-2024-00576,2024-03-13,Security Services,869
GRN-00577,PO-2024-00577,2025-02-08,Permitted Colour,4486
GRN-00577,PO-2024-00577,2025-02-08,Mint Flavour,4796
GRN-00577,PO-2024-00577,2025-02-08,Cardamom Oil,2633
GRN-00578,PO-2024-00578,2025-04-09,Housekeeping,1551
GRN-00578,PO-2024-00578,2025-04-09,AMC-Machinery,4129
GRN-00578,PO-2024-00578,2025-04-09,Security Services,3614
GRN-00579,PO-2024-00579,2024-10-12,Wrapper Film,1828
GRN-00580,PO-2024-00580,2025-02-19,Menthol Crystals,3902
GRN-00580,PO-2024-00580,2025-02-19,Edible Starch,3905
GRN-00580,PO-2024-00580,2025-02-19,Milk Solids,3745
GRN-00580,PO-2024-00580,2025-02-19,Milk Solids,3877
GRN-00581,PO-2024-00581,2024-09-21,Cardamom Oil,3793
GRN-00581,PO-2024-00581,2024-09-21,Permitted Colour,858
GRN-00581,PO-2024-00581,2024-09-21,Citric Acid,3584
GRN-00581,PO-2024-00581,2024-09-21,Citric Acid,3725
GRN-00582,PO-2024-00582,2024-11-02,IT AMC,61
GRN-00582,PO-2024-00582,2024-11-02,Consulting,1473
GRN-00583,PO-2024-00583,2024-05-14,AMC-Machinery,1309
GRN-00583,PO-2024-00583,2024-05-14,Consulting,1927
GRN-00583,PO-2024-00583,2024-05-14,AMC-Machinery,755
GRN-00584,PO-2024-00584,2025-03-28,Security Services,545
GRN-00584,PO-2024-00584,2025-03-28,AMC-Machinery,1891
GRN-00584,PO-2024-00584,2025-03-28,AMC-Machinery,4032
GRN-00584,PO-2024-00584,2025-03-28,Security Services,4152
,PO-2024-00585,,Consulting,0
GRN-00586,PO-2024-00586,2024-09-18,Cocoa Mass,2472
GRN-00586,PO-2024-00586,2024-09-18,Mint Flavour,3681
GRN-00587,PO-2024-00587,2024-12-05,Secondary Freight,1681
GRN-00587,PO-2024-00587,2024-12-05,Secondary Freight,2663
GRN-00587,PO-2024-00587,2024-12-05,Warehousing,3376
GRN-00588,PO-2024-00588,2025-02-06,Consulting,1823
GRN-00588,PO-2024-00588,2025-02-06,IT AMC,1669
GRN-00589,PO-2024-00589,2024-04-06,Citric Acid,4959
GRN-00589,PO-2024-00589,2024-04-06,Citric Acid,512
GRN-00589,PO-2024-00589,2024-04-06,Citric Acid,4532
GRN-00589,PO-2024-00589,2024-04-06,Citric Acid,426
GRN-00590,PO-2024-00590,2024-07-29,Housekeeping,3250
GRN-00591,PO-2024-00591,2025-05-05,Primary Freight,3576
GRN-00591,PO-2024-00591,2025-05-05,Secondary Freight,1245
GRN-00591,PO-2024-00591,2025-05-05,Cold-Chain Haulage,1670
GRN-00591,PO-2024-00591,2025-05-05,Primary Freight,3890
GRN-00592,PO-2024-00592,2024-10-27,Menthol Crystals,4980
GRN-00593,PO-2024-00593,2024-07-31,Cold-Chain Haulage,2494
GRN-00594,PO-2024-00594,2024-01-24,Citric Acid,3109
GRN-00594,PO-2024-00594,2024-01-24,Permitted Colour,89
GRN-00594,PO-2024-00594,2024-01-24,Citric Acid,696
GRN-00594,PO-2024-00594,2024-01-24,Permitted Colour,4307
GRN-00595,PO-2024-00595,2025-02-22,PET Bottle 500ml,4302
GRN-00595,PO-2024-00595,2025-02-22,Corrugated Box,4393
GRN-00595,PO-2024-00595,2025-02-22,PET Bottle 500ml,1183
GRN-00596,PO-2024-00596,2024-12-14,Consulting,3681
GRN-00597,PO-2024-00597,2025-06-01,Permitted Colour,200
GRN-00597,PO-2024-00597,2025-06-01,Mint Flavour,2811
GRN-00597,PO-2024-00597,2025-06-01,Citric Acid,4207
GRN-00598,PO-2024-00598,2024-12-18,AMC-Machinery,4293
GRN-00598,PO-2024-00598,2024-12-18,IT AMC,2433
GRN-00598,PO-2024-00598,2024-12-18,Housekeeping,151
GRN-00599,PO-2024-00599,2024-03-02,Menthol Crystals,977
GRN-00600,PO-2024-00600,2024-03-25,Housekeeping,3540
GRN-00600,PO-2024-00600,2024-03-25,IT AMC,4901
GRN-00601,PO-2024-00601,2024-02-18,Security Services,58
GRN-00602,PO-2024-00602,2025-02-23,Milk Solids,3634
GRN-00602,PO-2024-00602,2025-02-23,Refined Sugar,1869
GRN-00602,PO-2024-00602,2025-02-23,Menthol Crystals,3533
GRN-00603,PO-2024-00603,2025-03-17,Consulting,3319
GRN-00603,PO-2024-00603,2025-03-17,Security Services,1098
GRN-00603,PO-2024-00603,2025-03-17,Consulting,233
GRN-00604,PO-2024-00604,2025-05-04,Milk Solids,1852
GRN-00604,PO-2024-00604,2025-05-04,Menthol Crystals,4218
GRN-00604,PO-2024-00604,2025-05-04,Edible Starch,993
GRN-00605,PO-2024-00605,2024-02-23,Cardamom Oil,3963
GRN-00605,PO-2024-00605,2024-02-23,Cardamom Oil,3736
GRN-00605,PO-2024-00605,2024-02-23,Mint Flavour,4907
GRN-00606,PO-2024-00606,2024-02-22,Glucose Syrup,4266
GRN-00606,PO-2024-00606,2024-02-22,Edible Starch,1215
GRN-00606,PO-2024-00606,2024-02-22,Glucose Syrup,220
GRN-00606,PO-2024-00606,2024-02-22,Edible Starch,1053
GRN-00607,PO-2024-00607,2024-04-26,Cardamom Oil,2017
GRN-00608,PO-2024-00608,2025-06-23,Cocoa Mass,2811
GRN-00608,PO-2024-00608,2025-06-23,Cocoa Mass,3753
GRN-00609,PO-2024-00609,2024-03-16,AMC-Machinery,2182
GRN-00609,PO-2024-00609,2024-03-16,IT AMC,1553
GRN-00609,PO-2024-00609,2024-03-16,Housekeeping,4059
GRN-00609,PO-2024-00609,2024-03-16,Security Services,1649
GRN-00610,PO-2024-00610,2024-09-11,Wrapper Film,1116
GRN-00610,PO-2024-00610,2024-09-11,Wrapper Film,3778
GRN-00611,PO-2024-00611,2024-06-15,Security Services,2410
GRN-00611,PO-2024-00611,2024-06-15,AMC-Machinery,1015
GRN-00612,PO-2024-00612,2024-07-06,Warehousing,3260
GRN-00612,PO-2024-00612,2024-07-06,Warehousing,4273
GRN-00612,PO-2024-00612,2024-07-06,Secondary Freight,1734
GRN-00613,PO-2024-00613,2024-04-21,Security Services,2395
GRN-00614,PO-2024-00614,2025-07-05,IT AMC,1114
GRN-00615,PO-2024-00615,2025-04-11,Citric Acid,674
GRN-00615,PO-2024-00615,2025-04-11,Mint Flavour,3333
GRN-00616,PO-2024-00616,2024-03-03,PET Bottle 500ml,2281
GRN-00616,PO-2024-00616,2024-03-03,Shrink Sleeve,820
GRN-00616,PO-2024-00616,2024-03-03,Corrugated Box,2068
GRN-00617,PO-2024-00617,2024-03-05,Security Services,4695
GRN-00617,PO-2024-00617,2024-03-05,Security Services,1734
GRN-00617,PO-2024-00617,2024-03-05,IT AMC,3441
GRN-00617,PO-2024-00617,2024-03-05,IT AMC,829
,PO-2024-00618,,Edible Starch,0
GRN-00619,PO-2024-00619,2025-02-09,Primary Freight,1742
GRN-00620,PO-2024-00620,2024-07-04,Citric Acid,1438
GRN-00620,PO-2024-00620,2024-07-04,Cocoa Mass,2292
GRN-00621,PO-2024-00621,2024-05-21,Permitted Colour,4279
GRN-00621,PO-2024-00621,2024-05-21,Citric Acid,1944
GRN-00621,PO-2024-00621,2024-05-21,Cardamom Oil,3359
GRN-00621,PO-2024-00621,2024-05-21,Citric Acid,1224
,PO-2024-00622,,Milk Solids,0
,PO-2024-00622,,Glucose Syrup,0
GRN-00623,PO-2024-00623,2024-04-02,Security Services,3978
GRN-00623,PO-2024-00623,2024-04-02,Security Services,1349
GRN-00624,PO-2024-00624,2024-02-08,Permitted Colour,2134
GRN-00624,PO-2024-00624,2024-02-08,Cardamom Oil,2972
GRN-00625,PO-2024-00625,2025-02-12,Citric Acid,3876
GRN-00625,PO-2024-00625,2025-02-12,Cocoa Mass,397
GRN-00625,PO-2024-00625,2025-02-12,Mint Flavour,1289
GRN-00626,PO-2024-00626,2024-04-03,Primary Freight,663
GRN-00626,PO-2024-00626,2024-04-03,Warehousing,1749
GRN-00626,PO-2024-00626,2024-04-03,Primary Freight,1931
GRN-00626,PO-2024-00626,2024-04-03,Primary Freight,3742
GRN-00627,PO-2024-00627,2024-12-22,IT AMC,1166
GRN-00628,PO-2024-00628,2024-02-13,Refined Sugar,2243
GRN-00628,PO-2024-00628,2024-02-13,Milk Solids,2005
GRN-00628,PO-2024-00628,2024-02-13,Menthol Crystals,4350
GRN-00629,PO-2024-00629,2024-07-19,Cardamom Oil,4624
GRN-00629,PO-2024-00629,2024-07-19,Cocoa Mass,2398
GRN-00629,PO-2024-00629,2024-07-19,Cardamom Oil,2104
GRN-00629,PO-2024-00629,2024-07-19,Cocoa Mass,4584
GRN-00630,PO-2024-00630,2024-10-04,Cocoa Mass,849
GRN-00630,PO-2024-00630,2024-10-04,Cocoa Mass,2220
GRN-00630,PO-2024-00630,2024-10-04,Mint Flavour,470
GRN-00631,PO-2024-00631,2024-02-06,Cardamom Oil,3257
GRN-00631,PO-2024-00631,2024-02-06,Mint Flavour,71
GRN-00632,PO-2024-00632,2024-08-29,Glucose Syrup,1414
GRN-00632,PO-2024-00632,2024-08-29,Menthol Crystals,2778
GRN-00632,PO-2024-00632,2024-08-29,Milk Solids,1577
GRN-00632,PO-2024-00632,2024-08-29,Refined Sugar,1137
GRN-00633,PO-2024-00633,2024-04-04,Primary Freight,1783
GRN-00633,PO-2024-00633,2024-04-04,Primary Freight,727
GRN-00633,PO-2024-00633,2024-04-04,Secondary Freight,4086
GRN-00634,PO-2024-00634,2024-06-24,PET Bottle 500ml,978
GRN-00634,PO-2024-00634,2024-06-24,Wrapper Film,3411
GRN-00634,PO-2024-00634,2024-06-24,Corrugated Box,4221
GRN-00634,PO-2024-00634,2024-06-24,Wrapper Film,830
GRN-00635,PO-2024-00635,2024-09-28,Warehousing,443
GRN-00635,PO-2024-00635,2024-09-28,Primary Freight,2072
GRN-00635,PO-2024-00635,2024-09-28,Primary Freight,2059
GRN-00636,PO-2024-00636,2025-04-21,Mono Carton,3315
GRN-00636,PO-2024-00636,2025-04-21,PET Bottle 500ml,2168
GRN-00636,PO-2024-00636,2025-04-21,Shrink Sleeve,3620
GRN-00636,PO-2024-00636,2025-04-21,Wrapper Film,2528
GRN-00637,PO-2024-00637,2024-06-06,PET Bottle 500ml,3534
GRN-00637,PO-2024-00637,2024-06-06,Wrapper Film,1511
GRN-00638,PO-2024-00638,2025-04-14,PET Bottle 500ml,820
GRN-00638,PO-2024-00638,2025-04-14,PET Bottle 500ml,2540
GRN-00638,PO-2024-00638,2025-04-14,PET Bottle 500ml,2599
GRN-00638,PO-2024-00638,2025-04-14,Mono Carton,3156
GRN-00639,PO-2024-00639,2024-01-22,IT AMC,822
GRN-00639,PO-2024-00639,2024-01-22,AMC-Machinery,2222
GRN-00639,PO-2024-00639,2024-01-22,AMC-Machinery,2153
GRN-00639,PO-2024-00639,2024-01-22,Housekeeping,1399
GRN-00640,PO-2024-00640,2024-03-18,Edible Starch,3751
GRN-00641,PO-2024-00641,2024-02-25,Permitted Colour,4323
GRN-00642,PO-2024-00642,2025-01-18,Wrapper Film,2781
GRN-00643,PO-2024-00643,2024-06-08,Mono Carton,4304
GRN-00643,PO-2024-00643,2024-06-08,Wrapper Film,3327
GRN-00643,PO-2024-00643,2024-06-08,Wrapper Film,2022
GRN-00643,PO-2024-00643,2024-06-08,Shrink Sleeve,1227
GRN-00644,PO-2024-00644,2024-05-22,IT AMC,2943
GRN-00645,PO-2024-00645,2024-05-10,Refined Sugar,1968
GRN-00645,PO-2024-00645,2024-05-10,Refined Sugar,3011
GRN-00646,PO-2024-00646,2024-07-17,PET Bottle 500ml,681
GRN-00646,PO-2024-00646,2024-07-17,Corrugated Box,4235
GRN-00646,PO-2024-00646,2024-07-17,Shrink Sleeve,4221
GRN-00646,PO-2024-00646,2024-07-17,Mono Carton,1999
GRN-00647,PO-2024-00647,2024-09-05,Cold-Chain Haulage,3475
GRN-00647,PO-2024-00647,2024-09-05,Secondary Freight,333
GRN-00647,PO-2024-00647,2024-09-05,Secondary Freight,1143
GRN-00648,PO-2024-00648,2024-10-09,Housekeeping,940
GRN-00648,PO-2024-00648,2024-10-09,AMC-Machinery,754
GRN-00648,PO-2024-00648,2024-10-09,Consulting,3565
GRN-00648,PO-2024-00648,2024-10-09,Consulting,2587
GRN-00649,PO-2024-00649,2025-03-10,Permitted Colour,245
GRN-00649,PO-2024-00649,2025-03-10,Cocoa Mass,1967
GRN-00650,PO-2024-00650,2024-03-18,PET Bottle 500ml,554
GRN-00650,PO-2024-00650,2024-03-18,Mono Carton,2069
GRN-00650,PO-2024-00650,2024-03-18,Wrapper Film,3655
GRN-00650,PO-2024-00650,2024-03-18,Corrugated Box,1415
GRN-00651,PO-2024-00651,2024-05-09,Permitted Colour,3597
GRN-00651,PO-2024-00651,2024-05-09,Cardamom Oil,2669
GRN-00652,PO-2024-00652,2024-05-30,Citric Acid,3247
GRN-00652,PO-2024-00652,2024-05-30,Cocoa Mass,810
GRN-00652,PO-2024-00652,2024-05-30,Mint Flavour,4915
GRN-00653,PO-2024-00653,2024-07-27,Milk Solids,3164
GRN-00653,PO-2024-00653,2024-07-27,Milk Solids,4919
GRN-00653,PO-2024-00653,2024-07-27,Refined Sugar,290
GRN-00654,PO-2024-00654,2025-01-03,Shrink Sleeve,1458
GRN-00655,PO-2024-00655,2024-12-09,Edible Starch,2190
GRN-00656,PO-2024-00656,2025-01-11,Edible Starch,3522
GRN-00657,PO-2024-00657,2024-04-29,Mono Carton,108
GRN-00658,PO-2024-00658,2024-11-17,Milk Solids,885
GRN-00659,PO-2024-00659,2024-08-17,Warehousing,2588
GRN-00659,PO-2024-00659,2024-08-17,Cold-Chain Haulage,1080
GRN-00660,PO-2024-00660,2024-05-13,AMC-Machinery,845
GRN-00660,PO-2024-00660,2024-05-13,IT AMC,1038
GRN-00660,PO-2024-00660,2024-05-13,Housekeeping,1697
GRN-00660,PO-2024-00660,2024-05-13,Housekeeping,1052
GRN-00661,PO-2024-00661,2024-07-21,Primary Freight,2474
GRN-00661,PO-2024-00661,2024-07-21,Cold-Chain Haulage,1809
GRN-00661,PO-2024-00661,2024-07-21,Secondary Freight,4588
GRN-00662,PO-2024-00662,2024-11-13,Refined Sugar,2625
GRN-00663,PO-2024-00663,2025-05-22,Permitted Colour,3286
GRN-00663,PO-2024-00663,2025-05-22,Cocoa Mass,3881
GRN-00664,PO-2024-00664,2024-05-18,Edible Starch,1061
GRN-00665,PO-2024-00665,2024-06-23,IT AMC,2459
GRN-00665,PO-2024-00665,2024-06-23,IT AMC,4796
GRN-00665,PO-2024-00665,2024-06-23,Housekeeping,2215
GRN-00665,PO-2024-00665,2024-06-23,Consulting,2698
GRN-00666,PO-2024-00666,2024-07-07,Secondary Freight,1739
GRN-00666,PO-2024-00666,2024-07-07,Cold-Chain Haulage,1315
GRN-00667,PO-2024-00667,2025-04-06,Permitted Colour,2647
GRN-00667,PO-2024-00667,2025-04-06,Cardamom Oil,1220
GRN-00667,PO-2024-00667,2025-04-06,Cardamom Oil,1030
GRN-00667,PO-2024-00667,2025-04-06,Permitted Colour,2830
GRN-00668,PO-2024-00668,2024-05-01,Warehousing,2799
GRN-00668,PO-2024-00668,2024-05-01,Primary Freight,2019
GRN-00669,PO-2024-00669,2025-04-12,IT AMC,4902
GRN-00669,PO-2024-00669,2025-04-12,AMC-Machinery,4470
GRN-00669,PO-2024-00669,2025-04-12,Housekeeping,2137
GRN-00670,PO-2024-00670,2024-05-30,Mint Flavour,2770
GRN-00670,PO-2024-00670,2024-05-30,Citric Acid,2565
GRN-00670,PO-2024-00670,2024-05-30,Mint Flavour,324
GRN-00671,PO-2024-00671,2024-03-24,Corrugated Box,2589
GRN-00671,PO-2024-00671,2024-03-24,Corrugated Box,256
GRN-00672,PO-2024-00672,2024-07-28,Glucose Syrup,1182
GRN-00672,PO-2024-00672,2024-07-28,Menthol Crystals,2291
GRN-00673,PO-2024-00673,2024-09-30,Mint Flavour,1782
GRN-00674,PO-2024-00674,2024-11-18,Menthol Crystals,305
GRN-00674,PO-2024-00674,2024-11-18,Refined Sugar,450
GRN-00675,PO-2024-00675,2025-02-26,IT AMC,4096
GRN-00675,PO-2024-00675,2025-02-26,Security Services,2090
GRN-00676,PO-2024-00676,2025-06-22,Consulting,3462
GRN-00677,PO-2024-00677,2024-05-15,Security Services,3392
GRN-00677,PO-2024-00677,2024-05-15,AMC-Machinery,162
GRN-00678,PO-2024-00678,2024-04-14,Cardamom Oil,2574
GRN-00678,PO-2024-00678,2024-04-14,Cocoa Mass,1777
GRN-00678,PO-2024-00678,2024-04-14,Mint Flavour,900
GRN-00679,PO-2024-00679,2024-02-01,Glucose Syrup,4074
GRN-00679,PO-2024-00679,2024-02-01,Milk Solids,3845
GRN-00679,PO-2024-00679,2024-02-01,Glucose Syrup,3495
GRN-00680,PO-2024-00680,2024-05-31,Mint Flavour,2936
GRN-00680,PO-2024-00680,2024-05-31,Cocoa Mass,257
GRN-00680,PO-2024-00680,2024-05-31,Permitted Colour,3914
GRN-00681,PO-2024-00681,2025-05-21,PET Bottle 500ml,1689
GRN-00682,PO-2024-00682,2024-10-12,Citric Acid,4290
GRN-00683,PO-2024-00683,2024-02-01,Glucose Syrup,3737
GRN-00683,PO-2024-00683,2024-02-01,Refined Sugar,4650
GRN-00684,PO-2024-00684,2025-05-12,Edible Starch,3309
GRN-00685,PO-2024-00685,2024-04-29,Glucose Syrup,68
GRN-00685,PO-2024-00685,2024-04-29,Menthol Crystals,2657
GRN-00686,PO-2024-00686,2025-07-01,Housekeeping,2531
GRN-00686,PO-2024-00686,2025-07-01,Consulting,671
GRN-00686,PO-2024-00686,2025-07-01,Housekeeping,1574
GRN-00686,PO-2024-00686,2025-07-01,AMC-Machinery,3680
GRN-00687,PO-2024-00687,2024-07-11,Primary Freight,3147
GRN-00687,PO-2024-00687,2024-07-11,Primary Freight,4719
GRN-00687,PO-2024-00687,2024-07-11,Primary Freight,281
GRN-00687,PO-2024-00687,2024-07-11,Secondary Freight,1271
GRN-00688,PO-2024-00688,2025-06-19,IT AMC,2781
GRN-00688,PO-2024-00688,2025-06-19,Security Services,1955
GRN-00688,PO-2024-00688,2025-06-19,IT AMC,1740
GRN-00689,PO-2024-00689,2024-09-18,Primary Freight,3737
GRN-00689,PO-2024-00689,2024-09-18,Warehousing,3061
GRN-00689,PO-2024-00689,2024-09-18,Secondary Freight,868
GRN-00690,PO-2024-00690,2025-01-06,AMC-Machinery,3755
GRN-00690,PO-2024-00690,2025-01-06,IT AMC,3778
GRN-00691,PO-2024-00691,2024-04-07,Glucose Syrup,892
GRN-00691,PO-2024-00691,2024-04-07,Glucose Syrup,4918
GRN-00692,PO-2024-00692,2024-02-27,Mono Carton,1263
GRN-00692,PO-2024-00692,2024-02-27,PET Bottle 500ml,3822
GRN-00692,PO-2024-00692,2024-02-27,Corrugated Box,4559
GRN-00692,PO-2024-00692,2024-02-27,PET Bottle 500ml,1251
GRN-00693,PO-2024-00693,2024-03-17,AMC-Machinery,2826
GRN-00693,PO-2024-00693,2024-03-17,Consulting,2201
GRN-00694,PO-2024-00694,2025-05-23,IT AMC,1815
GRN-00695,PO-2024-00695,2024-01-29,Citric Acid,1671
GRN-00695,PO-2024-00695,2024-01-29,Cocoa Mass,2054
GRN-00696,PO-2024-00696,2024-03-13,Glucose Syrup,2845
GRN-00696,PO-2024-00696,2024-03-13,Refined Sugar,4866
GRN-00696,PO-2024-00696,2024-03-13,Edible Starch,1501
GRN-00697,PO-2024-00697,2024-12-19,Refined Sugar,1204
GRN-00697,PO-2024-00697,2024-12-19,Glucose Syrup,4032
GRN-00698,PO-2024-00698,2024-08-03,Consulting,2251
GRN-00698,PO-2024-00698,2024-08-03,AMC-Machinery,3771
GRN-00698,PO-2024-00698,2024-08-03,IT AMC,1793
GRN-00698,PO-2024-00698,2024-08-03,Security Services,2143
GRN-00699,PO-2024-00699,2024-11-19,Shrink Sleeve,4434
GRN-00699,PO-2024-00699,2024-11-19,Wrapper Film,1319
GRN-00699,PO-2024-00699,2024-11-19,Corrugated Box,296
GRN-00699,PO-2024-00699,2024-11-19,Wrapper Film,684
GRN-00700,PO-2024-00700,2025-01-06,Mint Flavour,4267
GRN-00700,PO-2024-00700,2025-01-06,Citric Acid,4305
GRN-00700,PO-2024-00700,2025-01-06,Mint Flavour,4590
GRN-00700,PO-2024-00700,2025-01-06,Cardamom Oil,2907
GRN-00701,PO-2024-00701,2025-06-08,Cold-Chain Haulage,4931
GRN-00701,PO-2024-00701,2025-06-08,Primary Freight,4743
GRN-00701,PO-2024-00701,2025-06-08,Cold-Chain Haulage,1038
GRN-00701,PO-2024-00701,2025-06-08,Primary Freight,3056
GRN-00702,PO-2024-00702,2025-02-10,Milk Solids,2732
GRN-00702,PO-2024-00702,2025-02-10,Glucose Syrup,4320
GRN-00703,PO-2024-00703,2025-07-02,Menthol Crystals,1348
GRN-00703,PO-2024-00703,2025-07-02,Edible Starch,3712
GRN-00704,PO-2024-00704,2024-10-19,Warehousing,1829
GRN-00705,PO-2024-00705,2024-04-28,Refined Sugar,2155
GRN-00705,PO-2024-00705,2024-04-28,Menthol Crystals,4865
GRN-00706,PO-2024-00706,2024-03-21,Cold-Chain Haulage,439
GRN-00707,PO-2024-00707,2024-09-26,Mint Flavour,4265
GRN-00707,PO-2024-00707,2024-09-26,Cardamom Oil,4325
GRN-00707,PO-2024-00707,2024-09-26,Permitted Colour,2689
GRN-00708,PO-2024-00708,2025-02-28,Glucose Syrup,2940
GRN-00708,PO-2024-00708,2025-02-28,Milk Solids,3840
