invoice_no,po_no,grn_no,vendor_code,vendor_gstin,invoice_date,plant_code,subtotal,gst_pct,gst_amount,total_amount
INV/000981,PO-2024-00981,GRN-00981,VEND-0060,07SYN9104G1Z4,2025-05-10,PLNT-15,1511401.15,12,181368.14,1692769.29
INV/000982,PO-2024-00982,GRN-00982,VEND-0037,18SYN7345C1Z2,2024-01-24,PLNT-07,407250.54,18,73305.1,480555.64
INV/000983,PO-2024-00983,GRN-00983,VEND-0044,24SYN6087B1Z4,2025-06-17,PLNT-04,866525.4,18,155974.57,1022499.97
INV/000984,PO-2024-00984,GRN-00984,VEND-0014,24SYN2486G1Z6,2024-03-20,PLNT-02,4367069.84,18,786072.57,5153142.41
INV/000985,PO-2024-00985,GRN-00985,VEND-0049,36SYN8679G1Z0,2024-08-20,PLNT-14,3379029.8,5,168951.49,3547981.29
INV/000986,PO-2024-00986,GRN-00986,VEND-0078,31SYN1175A1Z6,2025-05-27,PLNT-08,3252144.49,18,585386.01,3837530.5
INV/000987,PO-2024-00987,GRN-00987,VEND-0117,08SYN2481G1Z4,2024-03-21,PLNT-08,3349206.91,18,602857.24,3952064.15
INV/000988,PO-2024-00988,GRN-00988,VEND-0037,18SYN7345C1Z2,2024-05-24,PLNT-11,387739.86,12,46528.78,434268.64
INV/000989,PO-2024-00989,GRN-00989,VEND-0040,06SYN3209F1Z1,2024-05-26,PLNT-11,7564003.9,12,907680.47,8471684.37
INV/000990,PO-2024-00990,GRN-00990,VEND-0008,14SYN2642D1Z8,2024-07-12,PLNT-13,55206.6,18,9937.19,65143.79
INV/000991,PO-2024-00991,GRN-00991,VEND-0080,17SYN3777F1Z5,2024-11-29,PLNT-06,2889935.23,12,346792.23,3236727.46
INV/000992,PO-2024-00992,GRN-00992,VEND-0115,23SYN5634C1Z8,2025-04-07,PLNT-07,1958537.62,18,352536.77,2311074.39
INV/000993,PO-2024-00993,GRN-00993,VEND-0014,24SYN2486G1Z6,2024-04-21,PLNT-01,4052084.0,18,729375.12,4781459.12
INV/000994,PO-2024-00994,GRN-00994,VEND-0048,09SYN3488B1ZX,2025-06-11,PLNT-11,2440321.0,18,439257.78,2879578.78
INV/000995,PO-2024-00995,GRN-00995,VEND-0034,06SYN8493G1Z1,2024-07-16,PLNT-03,6010251.73,18,1081845.31,7092097.04
INV/000996,PO-2024-00996,GRN-00996,VEND-0021,34SYN7702E1Z3,2025-01-30,PLNT-15,3053776.14,18,549679.71,3603455.85
INV/000997,PO-2024-00997,GRN-00997,VEND-0096,34SYN2449G1Z5,2024-06-02,PLNT-06,5296843.35,18,953431.8,6250275.15
INV/000998,PO-2024-00998,GRN-00998,VEND-0091,12SYN1205G1Z1,2024-10-31,PLNT-02,3593663.25,12,431239.59,4024902.84
INV/000999,PO-2024-00999,GRN-00999,VEND-0101,14SYN8435H1Z0,2025-06-05,PLNT-07,3013561.6,5,150678.08,3164239.68
INV/001000,PO-2024-01000,GRN-01000,VEND-0080,17SYN3777F1Z5,2024-02-05,PLNT-04,2462299.74,5,123114.99,2585414.73
INV/001001,PO-2024-01001,GRN-01001,VEND-0007,31SYN5053F1Z4,2024-11-04,PLNT-03,1122899.43,12,134747.93,1257647.36
INV/001002,PO-2024-01002,GRN-01002,VEND-0106,25SYN7571D1Z6,2024-03-11,PLNT-09,3530658.19,5,176532.91,3707191.1
INV/001003,PO-2024-01003,GRN-01003,VEND-0061,34SYN2370G1Z4,2025-01-01,PLNT-08,1674411.6,5,83720.58,1758132.18
INV/001004,PO-2024-01004,GRN-01004,VEND-0115,23SYN5634C1Z8,2024-09-20,PLNT-12,7356895.77,12,882827.49,8239723.26
INV/001005,PO-2024-01005,GRN-01005,VEND-0079,19SYN7474H1Z5,2024-10-27,PLNT-05,6903900.82,5,345195.04,7249095.86
INV/001006,PO-2024-01006,GRN-01006,VEND-0102,33SYN5884H1Z1,2025-04-29,PLNT-12,448973.51,5,22448.68,471422.19
INV/001007,PO-2024-01007,GRN-01007,VEND-0010,30SYN5908D1Z3,2025-03-18,PLNT-03,829236.07,12,99508.33,928744.4
INV/001008,PO-2024-01008,GRN-01008,VEND-0049,36SYN8679G1Z0,2024-07-22,PLNT-12,2631075.48,18,473593.59,3104669.07
INV/001009,PO-2024-01009,GRN-01009,VEND-0050,10SYN8394D1Z0,2024-12-30,PLNT-07,913632.02,18,164453.76,1078085.78
INV/001010,PO-2024-01010,GRN-01010,VEND-0069,18SYN3392H1Z6,2025-01-03,PLNT-02,5066359.83,18,911944.77,5978304.6
INV/001011,PO-2024-01011,GRN-01011,VEND-0016,35SYN5010G1Z8,2025-04-19,PLNT-15,1873506.64,12,224820.8,2098327.44
INV/001012,PO-2024-01012,GRN-01012,VEND-0089,36SYN6228E1Z4,2024-04-03,PLNT-02,2403952.11,18,432711.38,2836663.49
INV/001013,PO-2024-01013,GRN-01013,VEND-0015,26SYN4190A1Z0,2024-01-30,PLNT-02,4705801.78,12,564696.21,5270497.99
INV/001014,PO-2024-01014,GRN-01014,VEND-0044,24SYN6087B1Z4,2024-12-16,PLNT-02,5749579.94,5,287479.0,6037058.94
INV/001015,PO-2024-01015,GRN-01015,VEND-0082,24SYN6658A1Z0,2025-06-18,PLNT-10,2888253.16,5,144412.66,3032665.82
INV/001016,PO-2024-01016,GRN-01016,VEND-0026,18SYN3971A1Z2,2025-06-21,PLNT-06,2690777.84,18,484340.01,3175117.85
INV/001017,PO-2024-01017,GRN-01017,VEND-0104,05SYN6993G1Z6,2025-03-20,PLNT-07,3203262.83,5,160163.14,3363425.97
INV/001018,PO-2024-01018,GRN-01018,VEND-0038,29SYN6000D1Z4,2025-01-25,PLNT-01,1614920.58,18,290685.7,1905606.28
INV/001019,PO-2024-01019,GRN-01019,VEND-0087,08SYN6288G1Z7,2024-11-13,PLNT-03,893353.28,5,44667.66,938020.94
INV/001020,PO-2024-01020,GRN-01020,VEND-0111,21SYN4337E1Z2,2025-06-13,PLNT-03,2346491.59,18,422368.49,2768860.08
INV/001021,PO-2024-01021,GRN-01021,VEND-0084,03SYN2614F1Z4,2024-02-25,PLNT-03,1737209.87,18,312697.78,2049907.65
INV/001022,PO-2024-01022,GRN-01022,VEND-0106,25SYN7571D1Z6,2025-02-04,PLNT-15,2431475.2,5,121573.76,2553048.96
INV/001023,PO-2024-01023,GRN-01023,VEND-0101,14SYN8435H1Z0,2024-09-11,PLNT-13,4692878.08,12,563145.37,5256023.45
INV/001024,PO-2024-01024,GRN-01024,VEND-0119,35SYN9930F1Z1,2024-09-23,PLNT-12,3929652.4,5,196482.62,4126135.02
INV/001025,PO-2024-01025,GRN-01025,VEND-0010,30SYN5908D1Z3,2025-03-31,PLNT-12,1430114.11,12,171613.69,1601727.8
INV/001026,PO-2024-01026,GRN-01026,VEND-0053,06SYN6012A1ZX,2025-05-26,PLNT-12,5193166.09,5,259658.3,5452824.39
INV/001027,PO-2024-01027,GRN-01027,VEND-0107,34SYN7917C1ZX,2025-02-02,PLNT-07,1723312.92,5,86165.65,1809478.57
INV/001028,PO-2024-01028,GRN-01028,VEND-0047,14SYN4930C1Z8,2024-10-19,PLNT-04,1055454.75,18,189981.85,1245436.6
INV/001029,PO-2024-01029,GRN-01029,VEND-0104,05SYN6993G1Z6,2025-01-15,PLNT-08,186188.6,5,9309.43,195498.03
INV/001030,PO-2024-01030,GRN-01030,VEND-0101,14SYN8435H1Z0,2025-07-09,PLNT-05,1598064.51,12,191767.74,1789832.25
INV/001031,PO-2024-01031,GRN-01031,VEND-0011,17SYN3044F1Z0,2024-01-17,PLNT-11,3414659.23,18,614638.66,4029297.89
INV/001032,PO-2024-01032,GRN-01032,VEND-0106,25SYN7571D1Z6,2024-09-03,PLNT-07,3176973.56,5,158848.68,3335822.24
INV/001033,PO-2024-01033,GRN-01033,VEND-0098,11SYN9583H1Z2,2024-06-16,PLNT-14,1783372.56,12,214004.71,1997377.27
INV/001034,PO-2024-01034,GRN-01034,VEND-0096,34SYN2449G1Z5,2025-04-03,PLNT-09,2241653.88,5,112082.69,2353736.57
INV/001035,PO-2024-01035,GRN-01035,VEND-0039,19SYN6118B1Z0,2025-04-07,PLNT-10,2081800.96,18,374724.17,2456525.13
INV/001036,PO-2024-01036,GRN-01036,VEND-0093,18SYN8043D1Z0,2024-12-17,PLNT-04,7435726.71,18,1338430.81,8774157.52
INV/001037,PO-2024-01037,GRN-01037,VEND-0068,33SYN5455H1Z6,2024-11-19,PLNT-09,760357.08,18,136864.27,897221.35
INV/001038,PO-2024-01038,GRN-01038,VEND-0045,05SYN6032E1Z7,2025-02-26,PLNT-06,1971325.98,5,98566.3,2069892.28
INV/001039,PO-2024-01039,GRN-01039,VEND-0064,12SYN7152C1Z5,2024-08-05,PLNT-10,1348399.56,5,67419.98,1415819.54
INV/001040,PO-2024-01040,GRN-01040,VEND-0092,35SYN4762F1Z4,2024-09-10,PLNT-01,1829691.84,18,329344.53,2159036.37
INV/001041,PO-2024-01041,GRN-01041,VEND-0018,08SYN4274A1Z4,2024-08-31,PLNT-14,1143472.4,5,57173.62,1200646.02
INV/001042,PO-2024-01042,GRN-01042,VEND-0109,36SYN3071D1Z2,2025-06-02,PLNT-01,5338070.72,5,266903.54,5604974.26
INV/001043,PO-2024-01043,GRN-01043,VEND-0039,19SYN6118B1Z0,2024-04-08,PLNT-05,1541152.32,18,277407.42,1818559.74
INV/001044,PO-2024-01044,GRN-01044,VEND-0067,13SYN9656C1Z3,2025-06-16,PLNT-07,6025193.64,12,723023.24,6748216.88
INV/001045,PO-2024-01045,GRN-01045,VEND-0006,29SYN5618E1Z1,2024-02-03,PLNT-11,3842622.6,12,461114.71,4303737.31
INV/001046,PO-2024-01046,GRN-01046,VEND-0021,34SYN7702E1Z3,2025-01-18,PLNT-04,2141721.68,18,385509.9,2527231.58
INV/001047,PO-2024-01047,GRN-01047,VEND-0026,18SYN3971A1Z2,2024-09-01,PLNT-12,4551245.43,5,227562.27,4778807.7
INV/001048,PO-2024-01048,GRN-01048,VEND-0100,17SYN3560A1Z0,2024-06-01,PLNT-15,2260997.49,18,406979.55,2667977.04
INV/001048-D,PO-2024-01048,GRN-01048,VEND-0100,17SYN3560A1Z0,2024-06-01,PLNT-15,2260997.49,18,406979.55,2667977.04
INV/001049,PO-2024-01049,GRN-01049,VEND-0113,35SYN3853E1Z1,2024-09-21,PLNT-12,29466.24,18,5303.92,34770.16
INV/001050,PO-2024-01050,GRN-01050,VEND-0070,35SYN3371H1Z7,2024-09-07,PLNT-02,3548713.44,12,425845.61,3974559.05
INV/001051,PO-2024-01051,GRN-01051,VEND-0014,24SYN2486G1Z6,2024-06-24,PLNT-02,2487193.38,12,298463.21,2785656.59
INV/001052,PO-2024-01052,GRN-01052,VEND-0019,19SYN1394E1Z4,2025-04-22,PLNT-09,3025047.7,18,544508.59,3569556.29
INV/001053,PO-2024-01053,GRN-01053,VEND-0074,33SYN2148A1Z4,2024-06-26,PLNT-03,2777586.84,12,333310.42,3110897.26
INV/001054,PO-2024-01054,GRN-01054,VEND-0115,23SYN5634C1Z8,2025-07-06,PLNT-05,275850.54,5,13792.53,289643.07
INV/001055,PO-2024-01055,GRN-01055,VEND-0052,12SYN4908F1Z5,2024-02-11,PLNT-02,1299618.2,18,233931.28,1533549.48
INV/001056,PO-2024-01056,,VEND-0107,34SYN7917C1Z2,2024-06-18,PLNT-07,2472660.94,18,445078.97,2917739.91
INV/001057,PO-2024-01057,GRN-01057,VEND-0030,12SYN7909B1Z7,2024-04-11,PLNT-05,3711448.22,5,185572.41,3897020.63
INV/001058,PO-2024-01058,GRN-01058,VEND-0086,07SYN7098D1Z0,2024-08-17,PLNT-01,4063512.04,18,731432.17,4794944.21
INV/001059,PO-2024-01059,GRN-01059,VEND-0074,33SYN2148A1Z4,2024-08-26,PLNT-03,8819003.3,18,1587420.59,10406423.89
INV/001060,PO-2024-01060,GRN-01060,VEND-0109,36SYN3071D1Z2,2025-05-01,PLNT-08,855414.4,18,153974.59,1009388.99
INV/001061,PO-2024-01061,GRN-01061,VEND-0073,04SYN1867D1Z4,2025-03-10,PLNT-13,912663.01,5,45633.15,958296.16
INV/001062,PO-2024-01062,GRN-01062,VEND-0090,14SYN6511D1Z5,2024-01-29,PLNT-13,2748799.98,5,137440.0,2886239.98
INV/001063,PO-2024-01063,GRN-01063,VEND-0060,07SYN9104G1Z4,2025-02-20,PLNT-15,4465284.32,18,803751.18,5269035.5
INV/001064,PO-2024-01064,GRN-01064,VEND-0116,10SYN9921F1Z8,2025-04-24,PLNT-01,3209062.59,12,385087.51,3594150.1
INV/001065,PO-2024-01065,GRN-01065,VEND-0004,05SYN5737A1Z8,2024-03-25,PLNT-10,4037137.6,12,484456.51,4521594.11
INV/001066,PO-2024-01066,GRN-01066,VEND-0025,18SYN2169F1Z6,2024-12-02,PLNT-06,1155281.0,12,138633.72,1293914.72
INV/001067,PO-2024-01067,GRN-01067,VEND-0060,07SYN9104G1Z4,2024-10-24,PLNT-15,3168585.8,5,158429.29,3327015.09
INV/001068,PO-2024-01068,GRN-01068,VEND-0110,03SYN2271C1Z4,2025-06-18,PLNT-10,1465900.25,12,175908.03,1641808.28
INV/001069,PO-2024-01069,GRN-01069,VEND-0111,21SYN4337E1Z2,2024-12-13,PLNT-05,3484745.1,5,174237.26,3658982.36
INV/001070,PO-2024-01070,GRN-01070,VEND-0090,14SYN6511D1Z5,2024-10-02,PLNT-15,4873045.07,18,877148.11,5750193.18
INV/001071,PO-2024-01071,GRN-01071,VEND-0025,18SYN2169F1Z6,2024-10-04,PLNT-12,1692065.58,5,84603.28,1776668.86
INV/001072,PO-2024-01072,GRN-01072,VEND-0062,26SYN5460E1Z4,2025-06-07,PLNT-12,2547597.8,12,305711.74,2853309.54
INV/001073,PO-2024-01073,GRN-01073,VEND-0058,05SYN7943A1Z6,2024-05-17,PLNT-13,2796145.07,18,503306.11,3299451.18
INV/001074,PO-2024-01074,GRN-01074,VEND-0061,34SYN2370G1Z4,2025-02-27,PLNT-12,1756410.8,18,316153.94,2072564.74
INV/001075,PO-2024-01075,GRN-01075,VEND-0092,35SYN4762F1Z4,2024-03-07,PLNT-12,1390627.14,12,166875.26,1557502.4
INV/001076,PO-2024-01076,GRN-01076,VEND-0037,18SYN7345C1Z2,2024-07-25,PLNT-08,1602382.22,12,192285.87,1794668.09
INV/001077,PO-2024-01077,GRN-01077,VEND-0107,34SYN7917C1Z2,2025-03-04,PLNT-09,3624915.72,18,652484.83,4277400.55
INV/001078,PO-2024-01078,GRN-01078,VEND-0118,03SYN3688G1Z3,2025-04-19,PLNT-08,3919780.03,12,470373.6,4390153.63
INV/001079,PO-2024-01079,GRN-01079,VEND-0110,03SYN2271C1Z4,2024-10-16,PLNT-03,3992765.13,12,479131.82,4471896.95
INV/001080,PO-2024-01080,GRN-01080,VEND-0092,35SYN4762F1Z4,2024-11-19,PLNT-11,2668551.01,12,320226.12,2988777.13
INV/001081,PO-2024-01081,GRN-01081,VEND-0119,35SYN9930F1Z1,2024-04-26,PLNT-10,3019994.76,5,150999.74,3170994.5
INV/001082,PO-2024-01082,GRN-01082,VEND-0035,30SYN1066H1Z7,2024-11-05,PLNT-06,2023037.04,12,242764.44,2265801.48
INV/001083,PO-2024-01083,GRN-01083,VEND-0065,23SYN4255D1Z8,2024-10-31,PLNT-14,4313466.5,18,776423.97,5089890.47
INV/001084,PO-2024-01084,GRN-01084,VEND-0064,12SYN7152C1Z5,2024-04-18,PLNT-03,172333.05,18,31019.95,203353.0
INV/001084-D,PO-2024-01084,GRN-01084,VEND-0064,12SYN7152C1Z5,2024-04-18,PLNT-03,172333.05,18,31019.95,203353.0
INV/001085,PO-2024-01085,GRN-01085,VEND-0063,07SYN4428H1Z2,2024-06-17,PLNT-07,1289221.37,18,232059.85,1521281.22
INV/001086,PO-2024-01086,GRN-01086,VEND-0051,31SYN3532C1Z8,2024-05-26,PLNT-02,2491858.95,18,448534.61,2940393.56
INV/001087,PO-2024-01087,GRN-01087,VEND-0009,29SYN6794F1Z3,2024-05-20,PLNT-09,2893222.99,12,347186.76,3240409.75
INV/001088,PO-2024-01088,GRN-01088,VEND-0057,13SYN1204F1Z0,2024-07-31,PLNT-10,3669151.34,5,183457.57,3852608.91
INV/001089,PO-2024-01089,GRN-01089,VEND-0048,09SYN3488B1Z3,2025-05-31,PLNT-13,3959238.5,12,475108.62,4434347.12
INV/001090,PO-2024-01090,GRN-01090,VEND-0073,04SYN1867D1Z4,2024-02-03,PLNT-07,3555578.25,12,426669.39,3982247.64
INV/001091,PO-2024-01091,GRN-01091,VEND-0111,21SYN4337E1Z2,2025-05-11,PLNT-08,985005.0,18,177300.9,1162305.9
INV/001092,PO-2024-01092,GRN-01092,VEND-0101,14SYN8435H1Z0,2024-10-28,PLNT-10,1350634.49,12,162076.14,1512710.63
INV/001093,PO-2024-01093,GRN-01093,VEND-0045,05SYN6032E1Z7,2024-07-22,PLNT-07,4450763.15,12,534091.58,4984854.73
INV/001094,PO-2024-01094,GRN-01094,VEND-0110,03SYN2271C1Z4,2024-10-27,PLNT-13,4743919.69,18,853905.54,5597825.23
INV/001095,PO-2024-01095,GRN-01095,VEND-0027,21SYN7027E1Z8,2024-07-21,PLNT-11,1844853.4,12,221382.41,2066235.81
INV/001096,PO-2024-01096,GRN-01096,VEND-0048,09SYN3488B1Z3,2025-07-01,PLNT-09,1731769.06,5,86588.45,1818357.51
INV/001097,PO-2024-01097,GRN-01097,VEND-0054,29SYN9963D1Z5,2024-11-24,PLNT-08,340468.47,18,61284.32,401752.79
INV/001098,PO-2024-01098,GRN-01098,VEND-0116,10SYN9921F1Z8,2024-11-24,PLNT-11,2691577.48,12,322989.3,3014566.78
INV/001098-D,PO-2024-01098,GRN-01098,VEND-0116,10SYN9921F1Z8,2024-11-24,PLNT-11,2691577.48,12,322989.3,3014566.78
INV/001099,PO-2024-01099,GRN-01099,VEND-0087,08SYN6288G1Z7,2024-10-24,PLNT-02,7254352.67,12,870522.32,8124874.99
INV/001100,PO-2024-01100,GRN-01100,VEND-0062,26SYN5460E1Z4,2025-06-09,PLNT-07,1480442.13,5,74022.11,1554464.24
INV/001101,PO-2024-01101,GRN-01101,VEND-0097,20SYN5260B1Z7,2024-09-18,PLNT-09,2419823.56,18,435568.24,2855391.8
INV/001102,PO-2024-01102,GRN-01102,VEND-0066,05SYN4082B1Z1,2025-07-05,PLNT-04,3423006.72,12,410760.81,3833767.53
INV/001103,PO-2024-01103,GRN-01103,VEND-0046,12SYN6424A1Z0,2025-06-30,PLNT-05,1682441.03,5,84122.05,1766563.08
INV/001104,PO-2024-01104,GRN-01104,VEND-0046,12SYN6424A1Z0,2025-06-14,PLNT-13,746037.06,18,134286.67,880323.73
INV/001105,PO-2024-01105,GRN-01105,VEND-0065,23SYN4255D1Z8,2024-04-07,PLNT-14,2976318.42,5,148815.92,3125134.34
INV/001106,PO-2024-01106,GRN-01106,VEND-0111,21SYN4337E1Z2,2025-05-26,PLNT-15,2326840.28,18,418831.25,2745671.53
INV/001107,PO-2024-01107,GRN-01107,VEND-0074,33SYN2148A1Z4,2025-02-25,PLNT-12,187987.8,12,22558.54,210546.34
INV/001108,PO-2024-01108,GRN-01108,VEND-0034,06SYN8493G1Z1,2024-02-06,PLNT-15,178803.24,18,32184.58,210987.82
INV/001109,PO-2024-01109,GRN-01109,VEND-0113,35SYN3853E1Z1,2024-01-27,PLNT-13,1008713.56,12,121045.63,1129759.19
INV/001110,PO-2024-01110,GRN-01110,VEND-0019,19SYN1394E1Z4,2024-05-06,PLNT-01,1149384.72,12,137926.17,1287310.89
INV/001111,PO-2024-01111,GRN-01111,VEND-0120,33SYN1818E1Z6,2025-06-15,PLNT-09,7613702.86,12,913644.34,8527347.2
INV/001112,PO-2024-01112,GRN-01112,VEND-0067,13SYN9656C1Z3,2024-04-10,PLNT-08,3449979.32,5,172498.97,3622478.29
INV/001113,PO-2024-01113,GRN-01113,VEND-0102,33SYN5884H1Z1,2024-07-06,PLNT-12,1071555.96,5,53577.8,1125133.76
INV/001114,PO-2024-01114,GRN-01114,VEND-0083,28SYN4741C1Z7,2024-03-12,PLNT-08,1677104.55,5,83855.23,1760959.78
INV/001115,PO-2024-01115,GRN-01115,VEND-0074,33SYN2148A1Z4,2024-06-09,PLNT-05,5444778.25,5,272238.91,5717017.16
INV/001116,PO-2024-01116,GRN-01116,VEND-0068,33SYN5455H1Z6,2024-03-15,PLNT-05,1437217.97,18,258699.23,1695917.2
INV/001117,PO-2024-01117,GRN-01117,VEND-0037,18SYN7345C1Z2,2024-09-02,PLNT-07,1846780.66,12,221613.68,2068394.34
INV/001118,PO-2024-01118,,VEND-0095,25SYN5415D1Z3,2024-07-06,PLNT-03,4126759.94,18,742816.79,4869576.73
INV/001119,PO-2024-01119,GRN-01119,VEND-0106,25SYN7571D1Z6,2024-11-07,PLNT-11,8060502.06,5,403025.1,8463527.16
INV/001120,PO-2024-01120,GRN-01120,VEND-0006,29SYN5618E1Z1,2024-03-11,PLNT-12,697591.44,18,125566.46,823157.9
INV/001121,PO-2024-01121,GRN-01121,VEND-0075,26SYN2821G1Z6,2025-04-01,PLNT-12,1345131.3,5,67256.57,1412387.87
INV/001122,PO-2024-01122,GRN-01122,VEND-0088,07SYN3699H1Z8,2024-11-14,PLNT-01,2370123.87,12,284414.86,2654538.73
INV/001123,PO-2024-01123,GRN-01123,VEND-0003,05SYN7275D1Z1,2024-09-02,PLNT-06,5316691.1,18,957004.4,6273695.5
INV/001124,PO-2024-01124,GRN-01124,VEND-0055,16SYN4657B1Z3,2025-02-05,PLNT-15,2764101.87,5,138205.09,2902306.96
INV/001125,PO-2024-01125,GRN-01125,VEND-0079,19SYN7474H1Z5,2024-10-31,PLNT-09,843245.55,12,101189.47,944435.02
INV/001126,PO-2024-01126,GRN-01126,VEND-0013,32SYN8447C1Z2,2025-05-04,PLNT-01,4802519.46,5,240125.97,5042645.43
INV/001127,PO-2024-01127,GRN-01127,VEND-0118,03SYN3688G1Z3,2024-03-22,PLNT-01,678715.31,12,81445.84,760161.15
INV/001128,PO-2024-01128,GRN-01128,VEND-0066,05SYN4082B1Z1,2024-04-04,PLNT-07,3027034.08,5,151351.7,3178385.78
INV/001129,PO-2024-01129,GRN-01129,VEND-0013,32SYN8447C1Z2,2024-08-16,PLNT-09,6752194.64,5,337609.73,7089804.37
INV/001130,PO-2024-01130,GRN-01130,VEND-0098,11SYN9583H1Z2,2025-01-17,PLNT-01,6807589.87,5,340379.49,7147969.36
INV/001131,PO-2024-01131,GRN-01131,VEND-0008,14SYN2642D1Z8,2024-10-10,PLNT-11,4608896.45,5,230444.82,4839341.27
INV/001132,PO-2024-01132,GRN-01132,VEND-0025,18SYN2169F1Z6,2024-02-27,PLNT-01,2503603.78,5,125180.19,2628783.97
INV/001133,PO-2024-01133,GRN-01133,VEND-0008,14SYN2642D1Z8,2024-07-15,PLNT-02,2456848.98,5,122842.45,2579691.43
INV/001134,PO-2024-01134,GRN-01134,VEND-0040,06SYN3209F1Z1,2024-09-19,PLNT-01,7652814.54,18,1377506.62,9030321.16
INV/001135,PO-2024-01135,GRN-01135,VEND-0084,03SYN2614F1Z4,2024-07-05,PLNT-08,2349471.74,18,422904.91,2772376.65
INV/001136,PO-2024-01136,GRN-01136,VEND-0018,08SYN4274A1Z4,2024-06-17,PLNT-13,2173407.6,18,391213.37,2564620.97
INV/001137,PO-2024-01137,GRN-01137,VEND-0018,08SYN4274A1Z4,2024-11-09,PLNT-07,3934353.18,5,196717.66,4131070.84
INV/001138,PO-2024-01138,,VEND-0044,24SYN6087B1Z4,2024-01-20,PLNT-09,2663449.88,12,319613.99,2983063.87
INV/001139,PO-2024-01139,GRN-01139,VEND-0038,29SYN6000D1Z4,2024-04-02,PLNT-15,1056670.45,12,126800.45,1183470.9
INV/001140,PO-2024-01140,GRN-01140,VEND-0024,18SYN8160F1Z1,2025-03-28,PLNT-08,3104099.32,12,372491.92,3476591.24
INV/001141,PO-2024-01141,GRN-01141,VEND-0063,07SYN4428H1Z2,2024-08-12,PLNT-15,6670077.77,5,333503.89,7003581.66
INV/001142,PO-2024-01142,GRN-01142,VEND-0119,35SYN9930F1Z1,2025-05-18,PLNT-04,843735.21,12,101248.23,944983.44
INV/001143,PO-2024-01143,GRN-01143,VEND-0040,06SYN3209F1Z1,2025-03-12,PLNT-05,4051200.56,12,486144.07,4537344.63
INV/001144,PO-2024-01144,GRN-01144,VEND-0054,29SYN9963D1Z5,2024-06-19,PLNT-13,3467797.77,12,416135.73,3883933.5
INV/001145,PO-2024-01145,GRN-01145,VEND-0038,29SYN6000D1Z4,2024-01-22,PLNT-08,3179519.09,18,572313.44,3751832.53
INV/001146,PO-2024-01146,GRN-01146,VEND-0090,14SYN6511D1Z5,2024-06-05,PLNT-02,6016544.85,18,1082978.07,7099522.92
INV/001147,PO-2024-01147,GRN-01147,VEND-0101,14SYN8435H1Z0,2024-12-21,PLNT-04,138437.67,18,24918.78,163356.45
INV/001148,PO-2024-01148,GRN-01148,VEND-0052,12SYN4908F1Z5,2024-02-17,PLNT-08,1290899.84,18,232361.97,1523261.81
INV/001149,PO-2024-01149,GRN-01149,VEND-0009,29SYN6794F1Z3,2024-10-23,PLNT-09,6700506.08,18,1206091.09,7906597.17
INV/001150,PO-2024-01150,GRN-01150,VEND-0069,18SYN3392H1Z6,2024-04-01,PLNT-04,4370826.72,18,786748.81,5157575.53
INV/001151,PO-2024-01151,GRN-01151,VEND-0076,12SYN8277G1Z5,2024-09-18,PLNT-14,8330885.88,18,1499559.46,9830445.34
INV/001152,PO-2024-01152,GRN-01152,VEND-0089,36SYN6228E1Z4,2025-06-06,PLNT-02,1905579.78,18,343004.36,2248584.14
INV/001153,PO-2024-01153,GRN-01153,VEND-0053,06SYN6012A1Z4,2024-10-21,PLNT-12,2705336.91,5,135266.85,2840603.76
INV/001154,PO-2024-01154,GRN-01154,VEND-0046,12SYN6424A1Z0,2024-10-22,PLNT-04,2609341.07,12,313120.93,2922462.0
INV/001155,PO-2024-01155,GRN-01155,VEND-0040,06SYN3209F1Z1,2025-04-12,PLNT-11,281779.85,12,33813.58,315593.43
INV/001156,PO-2024-01156,GRN-01156,VEND-0091,12SYN1205G1Z1,2025-07-02,PLNT-14,1062199.19,12,127463.9,1189663.09
INV/001157,PO-2024-01157,GRN-01157,VEND-0093,18SYN8043D1Z0,2025-02-17,PLNT-11,7239229.59,12,868707.55,8107937.14
INV/001158,PO-2024-01158,GRN-01158,VEND-0017,25SYN8004B1Z6,2024-04-20,PLNT-01,1014944.96,12,121793.4,1136738.36
INV/001158-D,PO-2024-01158,GRN-01158,VEND-0017,25SYN8004B1Z6,2024-04-20,PLNT-01,1014944.96,12,121793.4,1136738.36
INV/001159,PO-2024-01159,GRN-01159,VEND-0061,34SYN2370G1ZX,2025-04-18,PLNT-08,3511719.17,18,632109.45,4143828.62
INV/001160,PO-2024-01160,GRN-01160,VEND-0092,35SYN4762F1Z4,2024-09-30,PLNT-13,1325731.87,12,159087.82,1484819.69
INV/001161,PO-2024-01161,GRN-01161,VEND-0074,33SYN2148A1Z4,2024-05-06,PLNT-14,2170134.93,18,390624.29,2560759.22
INV/001162,PO-2024-01162,GRN-01162,VEND-0008,14SYN2642D1Z8,2024-07-14,PLNT-04,2774614.0,18,499430.52,3274044.52
INV/001163,PO-2024-01163,GRN-01163,VEND-0079,19SYN7474H1Z5,2024-06-30,PLNT-11,4222345.78,18,760022.24,4982368.02
INV/001164,PO-2024-01164,GRN-01164,VEND-0005,27SYN7849F1Z6,2024-09-19,PLNT-11,2556839.8,18,460231.16,3017070.96
INV/001165,PO-2024-01165,GRN-01165,VEND-0021,34SYN7702E1Z3,2024-09-09,PLNT-12,1673707.42,12,200844.89,1874552.31
