invoice_no,issue_type,detail
INV/004535,date_anomaly,invoice dated before PO
INV/004536,gstin_invalid,malformed GSTIN
INV/004539,qty_variance,GRN qty -20.0% vs invoice
INV/004546,tax_error,GST charged 12% vs correct 5%
INV/004549,qty_variance,GRN qty -20.0% vs invoice
INV/004564,tax_error,GST charged 5% vs correct 5%
INV/004569,date_anomaly,invoice dated before PO
INV/004574,missing_grn,no GRN — goods not received
INV/004605,date_anomaly,invoice dated before PO
INV/004621,date_anomaly,invoice dated before PO
INV/004627,price_mismatch,invoice rate 11.3% above PO
INV/004640,missing_grn,no GRN — goods not received
INV/004641,missing_grn,no GRN — goods not received
INV/004648,duplicate,duplicate
INV/004648-D,duplicate,duplicate of INV/004648
INV/004652,missing_grn,no GRN — goods not received
INV/004659,qty_variance,GRN qty -15.0% vs invoice
INV/004663,date_anomaly,invoice dated before PO
INV/004671,duplicate,duplicate
INV/004671-D,duplicate,duplicate of INV/004671
INV/004684,date_anomaly,invoice dated before PO
INV/004695,date_anomaly,invoice dated before PO
INV/004702,date_anomaly,invoice dated before PO
INV/004715,missing_grn,no GRN — goods not received
INV/004725,duplicate,duplicate
INV/004725-D,duplicate,duplicate of INV/004725
INV/004732,date_anomaly,invoice dated before PO
INV/004762,duplicate,duplicate
INV/004762-D,duplicate,duplicate of INV/004762
INV/004765,duplicate,duplicate
INV/004765-D,duplicate,duplicate of INV/004765
INV/004767,date_anomaly,invoice dated before PO
INV/004770,gstin_invalid,malformed GSTIN
INV/004783,price_mismatch,invoice rate 18.9% above PO
INV/004789,duplicate,duplicate
INV/004789-D,duplicate,duplicate of INV/004789
INV/004796,qty_variance,GRN qty 15.0% vs invoice
INV/004806,gstin_invalid,malformed GSTIN
INV/004814,price_mismatch,invoice rate 12.6% above PO
INV/004815,tax_error,GST charged 18% vs correct 18%
INV/004819,price_mismatch,invoice rate 21.7% above PO
INV/004820,qty_variance,GRN qty -20.0% vs invoice
INV/004821,missing_grn,no GRN — goods not received
INV/004824,price_mismatch,invoice rate 18.9% above PO
INV/004833,qty_variance,GRN qty 20.0% vs invoice
INV/004838,tax_error,GST charged 18% vs correct 5%
INV/004846,price_mismatch,invoice rate 13.5% above PO
INV/004862,qty_variance,GRN qty -20.0% vs invoice
INV/004879,qty_variance,GRN qty 15.0% vs invoice
INV/004893,qty_variance,GRN qty 15.0% vs invoice
INV/004897,tax_error,GST charged 12% vs correct 12%
INV/004898,tax_error,GST charged 12% vs correct 18%
INV/004912,missing_grn,no GRN — goods not received
INV/004914,qty_variance,GRN qty 20.0% vs invoice
INV/004928,qty_variance,GRN qty -15.0% vs invoice
INV/004938,date_anomaly,invoice dated before PO
INV/004942,price_mismatch,invoice rate 4.7% above PO
INV/004962,gstin_invalid,malformed GSTIN
INV/004973,price_mismatch,invoice rate 15.0% above PO
INV/004974,date_anomaly,invoice dated before PO
INV/004989,price_mismatch,invoice rate 10.6% above PO
INV/004996,price_mismatch,invoice rate 17.6% above PO
INV/005000,qty_variance,GRN qty 15.0% vs invoice
